 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             2  streams

 w-grid:          501    280.0000        780.0000    
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =    0.9675146    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=    0.000000      long=    0.000000      ut=    12.00000    
 solar zenith angle =     23.18721    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 280.00     281.00     9.839E-17  8.887E-17     1.873E-17   1.873E-16
 281.00     282.00     4.700E-15  4.431E-15     9.128E-16   9.131E-15
 282.00     283.00     8.895E-14  8.728E-14     1.762E-14   1.762E-13
 283.00     284.00     5.455E-13  5.468E-13     1.092E-13   1.092E-12
 284.00     285.00     8.897E-12  9.393E-12     1.829E-12   1.829E-11
 285.00     286.00     4.388E-11  4.822E-11     9.209E-12   9.209E-11
 286.00     287.00     6.752E-10  7.642E-10     1.439E-10   1.439E-09
 287.00     288.00     5.180E-09  6.077E-09     1.126E-09   1.126E-08
 288.00     289.00     3.550E-08  4.357E-08     7.908E-09   7.908E-08
 289.00     290.00     2.439E-07  3.090E-07     5.529E-08   5.529E-07
 290.00     291.00     1.180E-06  1.533E-06     2.713E-07   2.713E-06
 291.00     292.00     4.585E-06  6.162E-06     1.075E-06   1.075E-05
 292.00     293.00     1.302E-05  1.799E-05     3.101E-06   3.101E-05
 293.00     294.00     4.381E-05  6.225E-05     1.061E-05   1.061E-04
 294.00     295.00     9.383E-05  1.363E-04     2.301E-05   2.301E-04
 295.00     296.00     2.672E-04  3.980E-04     6.653E-05   6.653E-04
 296.00     297.00     5.174E-04  7.874E-04     1.305E-04   1.305E-03
 297.00     298.00     1.086E-03  1.684E-03     2.771E-04   2.771E-03
 298.00     299.00     1.400E-03  2.203E-03     3.603E-04   3.603E-03
 299.00     300.00     3.359E-03  5.364E-03     8.723E-04   8.723E-03
 300.00     301.00     3.336E-03  5.375E-03     8.711E-04   8.711E-03
 301.00     302.00     7.041E-03  1.149E-02     1.853E-03   1.853E-02
 302.00     303.00     9.166E-03  1.500E-02     2.417E-03   2.417E-02
 303.00     304.00     1.642E-02  2.711E-02     4.353E-03   4.353E-02
 304.00     305.00     1.857E-02  3.060E-02     4.917E-03   4.917E-02
 305.00     306.00     2.562E-02  4.250E-02     6.812E-03   6.812E-02
 306.00     307.00     2.744E-02  4.522E-02     7.266E-03   7.266E-02
 307.00     308.00     4.106E-02  6.800E-02     1.091E-02   1.091E-01
 308.00     309.00     4.694E-02  7.709E-02     1.240E-02   1.240E-01
 309.00     310.00     4.250E-02  6.973E-02     1.122E-02   1.122E-01
 310.00     311.00     5.916E-02  9.660E-02     1.558E-02   1.558E-01
 311.00     312.00     7.751E-02  1.255E-01     2.030E-02   2.030E-01
 312.00     313.00     7.732E-02  1.251E-01     2.024E-02   2.024E-01
 313.00     314.00     8.889E-02  1.419E-01     2.308E-02   2.308E-01
 314.00     315.00     9.054E-02  1.444E-01     2.349E-02   2.349E-01
 315.00     316.00     9.464E-02  1.488E-01     2.435E-02   2.435E-01
 316.00     317.00     9.576E-02  1.501E-01     2.459E-02   2.459E-01
 317.00     318.00     1.369E-01  2.109E-01     3.478E-02   3.478E-01
 318.00     319.00     1.092E-01  1.678E-01     2.770E-02   2.770E-01
 319.00     320.00     1.347E-01  2.041E-01     3.388E-02   3.388E-01
 320.00     321.00     1.657E-01  2.471E-01     4.128E-02   4.128E-01
 321.00     322.00     1.424E-01  2.125E-01     3.549E-02   3.549E-01
