 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             2  streams

 w-grid:          141    280.0000        420.0000    
 z-grid:           81    2.000000        80.00000    
  measurement point: index            1  altitude=    2.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     45.00000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 322.00     323.00     7.872E-02  1.951E-01     2.738E-02   2.738E-01
 323.00     324.00     8.129E-02  2.005E-01     2.818E-02   2.818E-01
 324.00     325.00     9.647E-02  2.341E-01     3.305E-02   3.305E-01
 325.00     326.00     1.094E-01  2.609E-01     3.704E-02   3.704E-01
 326.00     327.00     1.329E-01  3.146E-01     4.475E-02   4.475E-01
 327.00     328.00     1.254E-01  2.913E-01     4.167E-02   4.167E-01
 328.00     329.00     1.170E-01  2.677E-01     3.847E-02   3.847E-01
 329.00     330.00     1.522E-01  3.453E-01     4.976E-02   4.976E-01
 330.00     331.00     1.402E-01  3.123E-01     4.525E-02   4.525E-01
 331.00     332.00     1.400E-01  3.071E-01     4.471E-02   4.471E-01
 332.00     333.00     1.385E-01  3.009E-01     4.394E-02   4.394E-01
 333.00     334.00     1.317E-01  2.813E-01     4.130E-02   4.130E-01
 334.00     335.00     1.484E-01  3.127E-01     4.611E-02   4.611E-01
 335.00     336.00     1.514E-01  3.153E-01     4.668E-02   4.668E-01
 336.00     337.00     1.196E-01  2.453E-01     3.649E-02   3.649E-01
 337.00     338.00     1.326E-01  2.680E-01     4.006E-02   4.006E-01
 338.00     339.00     1.409E-01  2.814E-01     4.223E-02   4.223E-01
 339.00     340.00     1.545E-01  3.044E-01     4.588E-02   4.588E-01
 340.00     341.00     1.667E-01  3.238E-01     4.905E-02   4.905E-01
 341.00     342.00     1.491E-01  2.861E-01     4.353E-02   4.353E-01
 342.00     343.00     1.665E-01  3.154E-01     4.820E-02   4.820E-01
 343.00     344.00     1.745E-01  3.260E-01     5.005E-02   5.005E-01
 344.00     345.00     1.233E-01  2.274E-01     3.507E-02   3.507E-01
 345.00     346.00     1.701E-01  3.100E-01     4.801E-02   4.801E-01
 346.00     347.00     1.605E-01  2.886E-01     4.491E-02   4.491E-01
 347.00     348.00     1.580E-01  2.806E-01     4.386E-02   4.386E-01
 348.00     349.00     1.749E-01  3.069E-01     4.818E-02   4.818E-01
 349.00     350.00     1.477E-01  2.559E-01     4.036E-02   4.036E-01
 350.00     351.00     2.083E-01  3.566E-01     5.649E-02   5.649E-01
 351.00     352.00     1.809E-01  3.058E-01     4.867E-02   4.867E-01
 352.00     353.00     1.643E-01  2.745E-01     4.388E-02   4.388E-01
 353.00     354.00     1.991E-01  3.288E-01     5.279E-02   5.279E-01
 354.00     355.00     2.170E-01  3.541E-01     5.711E-02   5.711E-01
 355.00     356.00     2.042E-01  3.294E-01     5.335E-02   5.335E-01
 356.00     357.00     1.908E-01  3.042E-01     4.950E-02   4.950E-01
 357.00     358.00     1.633E-01  2.574E-01     4.207E-02   4.207E-01
 358.00     359.00     1.268E-01  1.977E-01     3.245E-02   3.245E-01
 359.00     360.00     2.148E-01  3.312E-01     5.460E-02   5.460E-01
 360.00     361.00     2.004E-01  3.055E-01     5.059E-02   5.059E-01
 361.00     362.00     1.818E-01  2.741E-01     4.559E-02   4.559E-01
 362.00     363.00     2.148E-01  3.204E-01     5.352E-02   5.352E-01
 363.00     364.00     1.922E-01  2.837E-01     4.759E-02   4.759E-01
 364.00     365.00     2.110E-01  3.080E-01     5.190E-02   5.190E-01
 365.00     366.00     2.586E-01  3.736E-01     6.322E-02   6.322E-01
 366.00     367.00     2.753E-01  3.936E-01     6.689E-02   6.689E-01
 367.00     368.00     2.629E-01  3.720E-01     6.349E-02   6.349E-01
 368.00     369.00     2.323E-01  3.253E-01     5.575E-02   5.575E-01
 369.00     370.00     2.802E-01  3.884E-01     6.686E-02   6.686E-01
 370.00     371.00     2.556E-01  3.508E-01     6.064E-02   6.064E-01
 371.00     372.00     2.941E-01  3.995E-01     6.936E-02   6.936E-01
 372.00     373.00     2.184E-01  2.938E-01     5.122E-02   5.122E-01
 373.00     374.00     1.985E-01  2.643E-01     4.628E-02   4.628E-01
 374.00     375.00     2.190E-01  2.888E-01     5.078E-02   5.078E-01
 375.00     376.00     2.484E-01  3.244E-01     5.728E-02   5.728E-01
 376.00     377.00     2.493E-01  3.225E-01     5.718E-02   5.718E-01
 377.00     378.00     2.984E-01  3.824E-01     6.807E-02   6.807E-01
 378.00     379.00     3.268E-01  4.149E-01     7.417E-02   7.417E-01
 379.00     380.00     2.430E-01  3.056E-01     5.486E-02   5.486E-01
 380.00     381.00     2.937E-01  3.660E-01     6.596E-02   6.596E-01
 381.00     382.00     2.773E-01  3.424E-01     6.197E-02   6.197E-01
 382.00     383.00     1.856E-01  2.272E-01     4.128E-02   4.128E-01
 383.00     384.00     1.638E-01  1.986E-01     3.624E-02   3.624E-01
 384.00     385.00     2.469E-01  2.968E-01     5.437E-02   5.437E-01
 385.00     386.00     2.454E-01  2.924E-01     5.378E-02   5.378E-01
 386.00     387.00     2.513E-01  2.968E-01     5.481E-02   5.481E-01
 387.00     388.00     2.346E-01  2.746E-01     5.093E-02   5.093E-01
 388.00     389.00     2.362E-01  2.741E-01     5.104E-02   5.104E-01
 389.00     390.00     2.992E-01  3.443E-01     6.435E-02   6.435E-01
 390.00     391.00     2.952E-01  3.367E-01     6.319E-02   6.319E-01
 391.00     392.00     3.517E-01  3.978E-01     7.495E-02   7.495E-01
 392.00     393.00     2.648E-01  2.971E-01     5.619E-02   5.619E-01
 393.00     394.00     1.156E-01  1.286E-01     2.443E-02   2.443E-01
 394.00     395.00     2.732E-01  3.014E-01     5.746E-02   5.746E-01
 395.00     396.00     3.530E-01  3.863E-01     7.392E-02   7.392E-01
 396.00     397.00     2.081E-01  2.259E-01     4.340E-02   4.340E-01
 397.00     398.00     2.411E-01  2.596E-01     5.007E-02   5.007E-01
 398.00     399.00     4.159E-01  4.444E-01     8.603E-02   8.603E-01
 399.00     400.00     4.343E-01  4.604E-01     8.947E-02   8.947E-01
 400.00     401.00     4.584E-01  4.821E-01     9.405E-02   9.405E-01
 401.00     402.00     4.734E-01  4.940E-01     9.675E-02   9.675E-01
 402.00     403.00     4.934E-01  5.109E-01     1.004E-01   1.004E+00
 403.00     404.00     4.533E-01  4.658E-01     9.191E-02   9.191E-01
 404.00     405.00     4.462E-01  4.551E-01     9.013E-02   9.013E-01
 405.00     406.00     4.653E-01  4.709E-01     9.362E-02   9.362E-01
 406.00     407.00     4.398E-01  4.418E-01     8.816E-02   8.816E-01
 407.00     408.00     4.450E-01  4.437E-01     8.888E-02   8.888E-01
 408.00     409.00     4.974E-01  4.923E-01     9.897E-02   9.897E-01
 409.00     410.00     4.893E-01  4.808E-01     9.701E-02   9.701E-01
 410.00     411.00     4.258E-01  4.154E-01     8.412E-02   8.412E-01
 411.00     412.00     5.136E-01  4.974E-01     1.011E-01   1.011E+00
 412.00     413.00     5.108E-01  4.911E-01     1.002E-01   1.002E+00
 413.00     414.00     4.970E-01  4.746E-01     9.716E-02   9.716E-01
 414.00     415.00     5.126E-01  4.860E-01     9.985E-02   9.985E-01
 415.00     416.00     4.919E-01  4.631E-01     9.550E-02   9.550E-01
 416.00     417.00     5.371E-01  5.022E-01     1.039E-01   1.039E+00
 417.00     418.00     4.926E-01  4.574E-01     9.500E-02   9.500E-01
 418.00     419.00     4.980E-01  4.593E-01     9.574E-02   9.574E-01
 419.00     420.00     5.161E-01  4.728E-01     9.889E-02   9.889E-01
