 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             2  streams

 w-grid:          141    280.0000        420.0000    
 z-grid:           81    2.000000        80.00000    
  measurement point: index            1  altitude=    2.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     45.00000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 280.00     281.00     3.890E-15  9.495E-15     1.339E-15   1.339E-14
 281.00     282.00     1.240E-13  3.090E-13     4.330E-14   4.330E-13
 282.00     283.00     1.656E-12  4.200E-12     5.856E-13   5.856E-12
 283.00     284.00     8.105E-12  2.066E-11     2.876E-12   2.876E-11
 284.00     285.00     8.788E-11  2.303E-10     3.182E-11   3.182E-10
 285.00     286.00     3.198E-10  8.538E-10     1.174E-10   1.174E-09
 286.00     287.00     3.898E-09  1.053E-08     1.442E-09   1.442E-08
 287.00     288.00     2.312E-08  6.346E-08     8.658E-09   8.658E-08
 288.00     289.00     1.197E-07  3.362E-07     4.560E-08   4.560E-07
 289.00     290.00     6.729E-07  1.914E-06     2.587E-07   2.587E-06
 290.00     291.00     2.751E-06  7.898E-06     1.065E-06   1.065E-05
 291.00     292.00     8.849E-06  2.578E-05     3.463E-06   3.463E-05
 292.00     293.00     2.150E-05  6.332E-05     8.482E-06   8.482E-05
 293.00     294.00     6.255E-05  1.862E-04     2.487E-05   2.487E-04
 294.00     295.00     1.195E-04  3.576E-04     4.771E-05   4.771E-04
 295.00     296.00     3.015E-04  9.105E-04     1.212E-04   1.212E-03
 296.00     297.00     5.279E-04  1.603E-03     2.131E-04   2.131E-03
 297.00     298.00     1.016E-03  3.096E-03     4.111E-04   4.111E-03
 298.00     299.00     1.215E-03  3.710E-03     4.926E-04   4.926E-03
 299.00     300.00     2.723E-03  8.322E-03     1.104E-03   1.104E-02
 300.00     301.00     2.565E-03  7.821E-03     1.039E-03   1.039E-02
 301.00     302.00     5.114E-03  1.560E-02     2.071E-03   2.071E-02
 302.00     303.00     6.418E-03  1.946E-02     2.588E-03   2.588E-02
 303.00     304.00     1.101E-02  3.331E-02     4.431E-03   4.431E-02
 304.00     305.00     1.214E-02  3.643E-02     4.857E-03   4.857E-02
 305.00     306.00     1.615E-02  4.832E-02     6.446E-03   6.446E-02
 306.00     307.00     1.703E-02  5.039E-02     6.742E-03   6.742E-02
 307.00     308.00     2.473E-02  7.297E-02     9.771E-03   9.771E-02
 308.00     309.00     2.798E-02  8.154E-02     1.095E-02   1.095E-01
 309.00     310.00     2.485E-02  7.196E-02     9.681E-03   9.681E-02
 310.00     311.00     3.414E-02  9.794E-02     1.321E-02   1.321E-01
 311.00     312.00     4.436E-02  1.258E-01     1.701E-02   1.702E-01
 312.00     313.00     4.357E-02  1.228E-01     1.664E-02   1.664E-01
 313.00     314.00     4.995E-02  1.387E-01     1.887E-02   1.887E-01
 314.00     315.00     5.023E-02  1.387E-01     1.889E-02   1.889E-01
 315.00     316.00     5.245E-02  1.425E-01     1.950E-02   1.950E-01
 316.00     317.00     5.257E-02  1.418E-01     1.944E-02   1.944E-01
 317.00     318.00     7.522E-02  1.994E-01     2.747E-02   2.747E-01
 318.00     319.00     5.952E-02  1.566E-01     2.162E-02   2.162E-01
 319.00     320.00     7.337E-02  1.902E-01     2.636E-02   2.636E-01
 320.00     321.00     9.017E-02  2.304E-01     3.206E-02   3.206E-01
 321.00     322.00     7.692E-02  1.952E-01     2.721E-02   2.721E-01
