 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             2  streams

 w-grid:          141    280.0000        420.0000    
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =    0.9675146    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=    0.000000      long=    0.000000      ut=    12.00000    
 322.00     323.00     1.446E-01  2.098E-01     3.544E-02   3.544E-01
 323.00     324.00     1.507E-01  2.190E-01     3.697E-02   3.697E-01
 324.00     325.00     1.785E-01  2.552E-01     4.337E-02   4.337E-01
 325.00     326.00     2.019E-01  2.834E-01     4.853E-02   4.853E-01
 326.00     327.00     2.467E-01  3.451E-01     5.918E-02   5.918E-01
 327.00     328.00     2.319E-01  3.180E-01     5.499E-02   5.499E-01
 328.00     329.00     2.160E-01  2.917E-01     5.077E-02   5.077E-01
 329.00     330.00     2.823E-01  3.791E-01     6.613E-02   6.613E-01
 330.00     331.00     2.590E-01  3.411E-01     6.000E-02   6.000E-01
 331.00     332.00     2.581E-01  3.345E-01     5.927E-02   5.927E-01
 332.00     333.00     2.561E-01  3.293E-01     5.855E-02   5.855E-01
 333.00     334.00     2.428E-01  3.066E-01     5.493E-02   5.493E-01
 334.00     335.00     2.734E-01  3.407E-01     6.141E-02   6.141E-01
 335.00     336.00     2.792E-01  3.441E-01     6.233E-02   6.233E-01
 336.00     337.00     2.200E-01  2.670E-01     4.870E-02   4.870E-01
 337.00     338.00     2.435E-01  2.905E-01     5.340E-02   5.340E-01
 338.00     339.00     2.588E-01  3.055E-01     5.643E-02   5.643E-01
 339.00     340.00     2.834E-01  3.300E-01     6.135E-02   6.135E-01
 340.00     341.00     3.053E-01  3.501E-01     6.555E-02   6.555E-01
 341.00     342.00     2.731E-01  3.094E-01     5.824E-02   5.824E-01
 342.00     343.00     3.046E-01  3.406E-01     6.452E-02   6.452E-01
 343.00     344.00     3.187E-01  3.512E-01     6.699E-02   6.699E-01
 344.00     345.00     2.249E-01  2.444E-01     4.693E-02   4.693E-01
 345.00     346.00     3.102E-01  3.331E-01     6.433E-02   6.433E-01
 346.00     347.00     2.921E-01  3.093E-01     6.014E-02   6.014E-01
 347.00     348.00     2.873E-01  3.002E-01     5.876E-02   5.876E-01
 348.00     349.00     3.178E-01  3.279E-01     6.457E-02   6.457E-01
 349.00     350.00     2.680E-01  2.730E-01     5.410E-02   5.410E-01
 350.00     351.00     3.776E-01  3.797E-01     7.573E-02   7.573E-01
 351.00     352.00     3.275E-01  3.251E-01     6.525E-02   6.525E-01
 352.00     353.00     2.971E-01  2.913E-01     5.884E-02   5.884E-01
 353.00     354.00     3.598E-01  3.484E-01     7.081E-02   7.081E-01
 354.00     355.00     3.916E-01  3.746E-01     7.662E-02   7.662E-01
 355.00     356.00     3.681E-01  3.478E-01     7.159E-02   7.159E-01
 356.00     357.00     3.436E-01  3.207E-01     6.642E-02   6.642E-01
 357.00     358.00     2.938E-01  2.709E-01     5.647E-02   5.647E-01
 358.00     359.00     2.280E-01  2.077E-01     4.357E-02   4.357E-01
 359.00     360.00     3.857E-01  3.473E-01     7.330E-02   7.330E-01
 360.00     361.00     3.595E-01  3.198E-01     6.793E-02   6.793E-01
 361.00     362.00     3.258E-01  2.865E-01     6.123E-02   6.123E-01
 362.00     363.00     3.846E-01  3.343E-01     7.188E-02   7.188E-01
 363.00     364.00     3.438E-01  2.955E-01     6.393E-02   6.393E-01
 364.00     365.00     3.770E-01  3.203E-01     6.972E-02   6.972E-01
 365.00     366.00     4.617E-01  3.877E-01     8.494E-02   8.494E-01
 366.00     367.00     4.910E-01  4.077E-01     8.987E-02   8.987E-01
 367.00     368.00     4.684E-01  3.847E-01     8.531E-02   8.531E-01
 368.00     369.00     4.135E-01  3.358E-01     7.493E-02   7.493E-01
 369.00     370.00     4.983E-01  4.003E-01     8.986E-02   8.986E-01
 370.00     371.00     4.542E-01  3.609E-01     8.151E-02   8.151E-01
 371.00     372.00     5.221E-01  4.103E-01     9.324E-02   9.324E-01
 372.00     373.00     3.874E-01  3.012E-01     6.886E-02   6.886E-01
 373.00     374.00     3.517E-01  2.706E-01     6.223E-02   6.223E-01
 374.00     375.00     3.877E-01  2.951E-01     6.828E-02   6.828E-01
 375.00     376.00     4.393E-01  3.309E-01     7.702E-02   7.702E-01
 376.00     377.00     4.406E-01  3.284E-01     7.690E-02   7.690E-01
 377.00     378.00     5.269E-01  3.886E-01     9.155E-02   9.155E-01
 378.00     379.00     5.766E-01  4.210E-01     9.976E-02   9.976E-01
 379.00     380.00     4.284E-01  3.096E-01     7.379E-02   7.379E-01
 380.00     381.00     5.173E-01  3.700E-01     8.873E-02   8.873E-01
 381.00     382.00     4.880E-01  3.456E-01     8.336E-02   8.336E-01
 382.00     383.00     3.265E-01  2.289E-01     5.554E-02   5.554E-01
 383.00     384.00     2.878E-01  1.998E-01     4.876E-02   4.876E-01
 384.00     385.00     4.336E-01  2.980E-01     7.316E-02   7.316E-01
 385.00     386.00     4.306E-01  2.931E-01     7.237E-02   7.237E-01
 386.00     387.00     4.406E-01  2.970E-01     7.375E-02   7.375E-01
 387.00     388.00     4.110E-01  2.743E-01     6.853E-02   6.853E-01
 388.00     389.00     4.135E-01  2.734E-01     6.868E-02   6.868E-01
 389.00     390.00     5.233E-01  3.427E-01     8.660E-02   8.660E-01
 390.00     391.00     5.158E-01  3.346E-01     8.504E-02   8.504E-01
 391.00     392.00     6.141E-01  3.947E-01     1.009E-01   1.009E+00
 392.00     393.00     4.621E-01  2.942E-01     7.563E-02   7.563E-01
 393.00     394.00     2.016E-01  1.272E-01     3.288E-02   3.288E-01
 394.00     395.00     4.760E-01  2.975E-01     7.735E-02   7.735E-01
 395.00     396.00     6.145E-01  3.806E-01     9.951E-02   9.951E-01
 396.00     397.00     3.621E-01  2.222E-01     5.843E-02   5.843E-01
 397.00     398.00     4.192E-01  2.549E-01     6.741E-02   6.741E-01
 398.00     399.00     7.227E-01  4.355E-01     1.158E-01   1.158E+00
 399.00     400.00     7.541E-01  4.504E-01     1.205E-01   1.205E+00
 400.00     401.00     7.953E-01  4.709E-01     1.266E-01   1.266E+00
 401.00     402.00     8.209E-01  4.817E-01     1.303E-01   1.303E+00
 402.00     403.00     8.548E-01  4.973E-01     1.352E-01   1.352E+00
 403.00     404.00     7.849E-01  4.526E-01     1.237E-01   1.237E+00
 404.00     405.00     7.721E-01  4.415E-01     1.214E-01   1.214E+00
 405.00     406.00     8.045E-01  4.560E-01     1.261E-01   1.261E+00
 406.00     407.00     7.600E-01  4.272E-01     1.187E-01   1.187E+00
 407.00     408.00     7.685E-01  4.283E-01     1.197E-01   1.197E+00
 408.00     409.00     8.584E-01  4.744E-01     1.333E-01   1.333E+00
 409.00     410.00     8.439E-01  4.625E-01     1.306E-01   1.306E+00
 410.00     411.00     7.339E-01  3.989E-01     1.133E-01   1.133E+00
 411.00     412.00     8.847E-01  4.768E-01     1.361E-01   1.361E+00
 412.00     413.00     8.793E-01  4.700E-01     1.349E-01   1.349E+00
 413.00     414.00     8.551E-01  4.534E-01     1.309E-01   1.309E+00
 414.00     415.00     8.813E-01  4.635E-01     1.345E-01   1.345E+00
 415.00     416.00     8.452E-01  4.409E-01     1.286E-01   1.286E+00
 416.00     417.00     9.223E-01  4.773E-01     1.400E-01   1.400E+00
 417.00     418.00     8.454E-01  4.340E-01     1.279E-01   1.279E+00
 418.00     419.00     8.542E-01  4.351E-01     1.289E-01   1.289E+00
 419.00     420.00     8.847E-01  4.471E-01     1.332E-01   1.332E+00
 
WEIGHTED IRRADIANCES (W m-2)
 (with normalized action spectra)

   1 UV-B, 280-315 nm                          1.675E+00
   2 UV-B*, 280-320 nm                         3.127E+00
   3 UV-A, 315-400 nm                          5.562E+01
   4 vis+, > 400 nm                            2.574E+01
   5 Gaussian, 305 nm, 10 nm FWHM              7.167E-02
   6 Gaussian, 320 nm, 10 nm FWHM              3.486E-01
   7 Gaussian, 340 nm, 10 nm FWHM              5.927E-01
   8 Gaussian, 380 nm, 10 nm FWHM              7.667E-01
   9 RB Meter, model 501                       4.867E-01
  10 Eppley UV Photometer                      4.854E+01
  11 PAR, 400-700 nm, umol m-2 s-1             8.824E+01
  12 Exponential decay, 14 nm/10               5.659E-01
  13 DNA damage, in vitro (Setlow, 1974)       1.553E-01
  14 SCUP-mice (de Gruijl et al., 1993)        3.173E-01
  15 SCUP-human (de Gruijl and van der Leun,   5.391E-01
  16 CIE human erythema (McKinlay and Diffey,  2.288E-01
  17 UV index (WMO, 1994)                      9.152E+00
  18 Erythema, humans (Anders et al., 1995)    1.030E-03
  19 Occupational TLV (ACGIH, 1992)            5.950E-02
  20 Phytoplankton (Boucher et al., 1994)      4.140E-03
  21 Phytoplankton, phaeo (Cullen et al., 199  1.541E-03
  22 Phytoplankton, proro (Cullen et al., 199  1.445E-03
  23 Cataract, pig (Oriowo et al., 2001)       7.112E-01
  24 Plant damage (Caldwell, 1971)             2.776E-01
  25 Plant damage (Flint & Caldwell, 2003)     9.931E-01
  26 Previtamin-D3 (CIE 2006)                  4.529E-01
  27 NMSC (CIE 2006)                           5.115E-01
