 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             2  streams

 w-grid:          501    280.0000        780.0000    
 z-grid:           82    3.000000        80.00000    
  measurement point: index            4  altitude=    5.000000    
 idate =      20180801  esfact(1) =    0.9707147    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=    60.00000      long=   -15.00000      ut=    12.00000    
 solar zenith angle =     43.71512    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 280.00     281.00     2.414E-11  2.189E-11     6.903E-12   4.604E-11
 281.00     282.00     3.729E-10  3.463E-10     1.116E-10   7.193E-10
 282.00     283.00     2.669E-09  2.529E-09     8.310E-10   5.198E-09
 283.00     284.00     8.680E-09  8.292E-09     2.760E-09   1.697E-08
 284.00     285.00     4.515E-08  4.455E-08     1.511E-08   8.970E-08
 285.00     286.00     9.516E-08  9.599E-08     3.306E-08   1.912E-07
 286.00     287.00     7.607E-07  7.788E-07     2.714E-07   1.539E-06
 287.00     288.00     2.830E-06  2.958E-06     1.043E-06   5.788E-06
 288.00     289.00     8.841E-06  9.493E-06     3.385E-06   1.833E-05
 289.00     290.00     3.451E-05  3.767E-05     1.355E-05   7.218E-05
 290.00     291.00     1.037E-04  1.147E-04     4.156E-05   2.185E-04
 291.00     292.00     2.359E-04  2.660E-04     9.695E-05   5.019E-04
 292.00     293.00     4.310E-04  4.929E-04     1.806E-04   9.239E-04
 293.00     294.00     9.585E-04  1.112E-03     4.093E-04   2.071E-03
 294.00     295.00     1.481E-03  1.734E-03     6.406E-04   3.215E-03
 295.00     296.00     2.987E-03  3.541E-03     1.312E-03   6.528E-03
 296.00     297.00     4.335E-03  5.187E-03     1.926E-03   9.522E-03
 297.00     298.00     7.070E-03  8.522E-03     3.169E-03   1.559E-02
 298.00     299.00     7.354E-03  8.906E-03     3.316E-03   1.626E-02
 299.00     300.00     1.443E-02  1.756E-02     6.542E-03   3.199E-02
 300.00     301.00     1.226E-02  1.494E-02     5.568E-03   2.720E-02
 301.00     302.00     2.188E-02  2.675E-02     9.972E-03   4.864E-02
 302.00     303.00     2.547E-02  3.106E-02     1.158E-02   5.653E-02
 303.00     304.00     4.004E-02  4.891E-02     1.822E-02   8.895E-02
 304.00     305.00     4.189E-02  5.088E-02     1.896E-02   9.276E-02
 305.00     306.00     5.165E-02  6.283E-02     2.338E-02   1.145E-01
 306.00     307.00     5.252E-02  6.337E-02     2.359E-02   1.159E-01
 307.00     308.00     7.164E-02  8.651E-02     3.214E-02   1.581E-01
 308.00     309.00     7.875E-02  9.421E-02     3.501E-02   1.730E-01
 309.00     310.00     6.698E-02  7.986E-02     2.964E-02   1.468E-01
 310.00     311.00     8.903E-02  1.055E-01     3.912E-02   1.945E-01
 311.00     312.00     1.130E-01  1.326E-01     4.919E-02   2.456E-01
 312.00     313.00     1.069E-01  1.252E-01     4.634E-02   2.321E-01
 313.00     314.00     1.209E-01  1.397E-01     5.180E-02   2.607E-01
 314.00     315.00     1.178E-01  1.356E-01     5.018E-02   2.534E-01
 315.00     316.00     1.217E-01  1.382E-01     5.121E-02   2.599E-01
 316.00     317.00     1.189E-01  1.343E-01     4.969E-02   2.531E-01
 317.00     318.00     1.690E-01  1.879E-01     6.972E-02   3.569E-01
 318.00     319.00     1.306E-01  1.444E-01     5.350E-02   2.750E-01
 319.00     320.00     1.595E-01  1.740E-01     6.458E-02   3.335E-01
 320.00     321.00     1.940E-01  2.091E-01     7.769E-02   4.031E-01
 321.00     322.00     1.620E-01  1.736E-01     6.443E-02   3.355E-01
 322.00     323.00     1.668E-01  1.749E-01     6.522E-02   3.417E-01
 323.00     324.00     1.681E-01  1.756E-01     6.538E-02   3.437E-01
 324.00     325.00     1.985E-01  2.043E-01     7.624E-02   4.028E-01
 325.00     326.00     2.245E-01  2.274E-01     8.512E-02   4.520E-01
 326.00     327.00     2.678E-01  2.696E-01     1.008E-01   5.374E-01
 327.00     328.00     2.523E-01  2.497E-01     9.371E-02   5.020E-01
 328.00     329.00     2.341E-01  2.285E-01     8.595E-02   4.627E-01
 329.00     330.00     3.003E-01  2.909E-01     1.094E-01   5.912E-01
 330.00     331.00     2.762E-01  2.631E-01     9.931E-02   5.393E-01
 331.00     332.00     2.747E-01  2.580E-01     9.763E-02   5.327E-01
