Model Name	LI-180
Serial Number	A18M0157
Time	2021/03/02_09:24:26
PPFD	129.879440
PFD	171.178452
PFD-UV	2.336031
PFD-B	33.417435
PFD-G	46.992531
PFD-R	49.469433
PFD-FR	38.963074
Custom1(655~665nm)	5.057602
Custom2(725~735nm)	4.957998
Custom3(650~670nm)	10.137251
Custom4(720~740nm)	9.965228
UV%	1.364676
B%	19.521980
G%	27.452354
R%	28.899324
FR%	22.761662
Custom1%	2.954579
Custom2%	2.896391
Custom3%	5.922037
Custom4%	5.821544
R:B	1.480348
R:FR	1.269649
R:G	1.052708
B:G	0.711122
UV:B	0.069905
UV:FR	0.059955
B:G:R	0.000000
B:R:FR	0.000000
UV:B:G:R:FR	0.000000
Ratio1(Custom1:Custom2)	1.020090
Ratio2(Custom3:Custom4)	1.017262
Ratio3	0.000000
Ratio4	0.000000
LambdaP	495.000000
LambdaPV	106.211479
LambdaD	554.000000
LUX	7366.741699
IRR	35.163498
fc	684.641418
I-Time	92.000000
380nm	27.503876
381nm	27.968113
382nm	28.452974
383nm	28.665405
384nm	28.860703
385nm	29.757685
386nm	30.602516
387nm	31.147602
388nm	31.770187
389nm	32.596386
390nm	33.383270
391nm	34.112041
392nm	35.141628
393nm	36.436024
394nm	38.408989
395nm	40.730755
396nm	42.885956
397nm	44.996765
398nm	47.739834
399nm	50.529140
400nm	53.135464
401nm	55.734497
402nm	58.300228
403nm	60.524918
404nm	61.992432
405nm	63.035275
406nm	63.542091
407nm	64.058823
408nm	64.582901
409nm	65.148079
410nm	65.730309
411nm	66.563896
412nm	67.445419
413nm	68.112740
414nm	68.774979
415nm	69.443283
416nm	70.023491
417nm	70.329231
418nm	70.591019
419nm	70.780670
420nm	70.895432
421nm	70.939659
422nm	70.885597
423nm	70.779045
424nm	70.150253
425nm	69.382370
426nm	68.895042
427nm	68.476959
428nm	68.718285
429nm	69.041222
430nm	69.676712
431nm	70.351158
432nm	71.098686
433nm	71.920601
434nm	72.820183
435nm	74.420723
436nm	76.430458
437nm	78.104248
438nm	79.680214
439nm	81.036179
440nm	82.356834
441nm	83.443573
442nm	84.633148
443nm	86.212807
444nm	87.889374
445nm	89.741875
446nm	91.237701
447nm	92.380470
448nm	93.334747
449nm	94.187897
450nm	95.154915
451nm	96.150406
452nm	97.122543
453nm	98.050751
454nm	98.599930
455nm	99.096458
456nm	99.437775
457nm	99.854446
458nm	100.381210
459nm	100.859779
460nm	101.300522
461nm	101.527428
462nm	101.669258
463nm	101.750259
464nm	101.821037
465nm	101.849190
466nm	101.864563
467nm	101.824303
468nm	101.812195
469nm	101.853256
470nm	101.978546
471nm	102.185951
472nm	102.548157
473nm	102.987358
474nm	103.517715
475nm	104.066689
476nm	104.545502
477nm	104.962936
478nm	105.057617
479nm	104.978256
480nm	104.537247
481nm	104.156258
482nm	103.837234
483nm	103.645149
484nm	103.518341
485nm	103.386787
486nm	103.254288
487nm	103.171425
488nm	103.137909
489nm	103.340965
490nm	103.742958
491nm	104.521393
492nm	105.238029
493nm	105.897675
494nm	106.144730
495nm	106.211479
496nm	106.100983
497nm	105.965454
498nm	105.844368
499nm	105.609344
500nm	104.994423
501nm	104.627052
502nm	104.613747
503nm	104.605202
504nm	104.599915
505nm	104.764862
506nm	104.978607
507nm	105.077095
508nm	105.124413
509nm	104.903923
510nm	104.529198
511nm	103.849518
512nm	103.214142
513nm	102.618858
514nm	102.172920
515nm	101.786438
516nm	101.580673
517nm	101.418594
518nm	101.482430
519nm	101.567757
520nm	101.704453
521nm	101.994911
522nm	102.444832
523nm	103.061867
524nm	103.754524
525nm	104.163292
526nm	104.522583
527nm	104.742226
528nm	104.945503
529nm	105.108681
530nm	105.356789
531nm	105.692154
532nm	105.944664
533nm	106.161362
534nm	106.146141
535nm	106.102425
536nm	106.026695
537nm	105.977760
538nm	105.985168
539nm	105.989700
540nm	105.991707
541nm	105.919861
542nm	105.822876
543nm	105.844162
544nm	105.878418
545nm	105.950394
546nm	106.041023
547nm	106.160423
548nm	106.167969
549nm	106.104759
550nm	105.995918
551nm	105.874512
552nm	105.694542
553nm	105.475426
554nm	105.155296
555nm	104.811340
556nm	104.444023
557nm	104.106941
558nm	103.780930
559nm	103.373459
560nm	102.957138
561nm	102.517380
562nm	102.122429
563nm	101.788406
564nm	101.416016
565nm	101.023651
566nm	100.615005
567nm	100.214714
568nm	99.882858
569nm	99.511391
570nm	99.072418
571nm	98.743301
572nm	98.484184
573nm	98.256462
574nm	98.064156
575nm	98.149216
576nm	98.256889
577nm	98.407761
578nm	98.564369
579nm	98.724937
580nm	98.928154
581nm	99.131516
582nm	99.257736
583nm	99.325012
584nm	99.280930
585nm	99.128624
586nm	98.904541
587nm	98.709373
588nm	98.504005
589nm	98.185638
590nm	97.895981
591nm	97.653656
592nm	97.455757
593nm	97.282837
594nm	97.310287
595nm	97.349457
596nm	97.342682
597nm	97.323837
598nm	97.289551
599nm	97.222023
600nm	97.140839
601nm	97.125999
602nm	97.090096
603nm	96.988625
604nm	96.898796
605nm	96.819283
606nm	96.740341
607nm	96.649216
608nm	96.429459
609nm	96.201263
610nm	95.958633
611nm	95.693558
612nm	95.416519
613nm	95.253304
614nm	95.112617
615nm	95.023445
616nm	94.900566
617nm	94.745918
618nm	94.528618
619nm	94.291595
620nm	94.012390
621nm	93.678856
622nm	93.262123
623nm	92.820999
624nm	92.369041
625nm	91.926895
626nm	91.521553
627nm	91.204529
628nm	91.019455
629nm	90.923363
630nm	91.017479
631nm	91.154610
632nm	91.376213
633nm	91.705017
634nm	92.132629
635nm	92.487755
636nm	92.825775
637nm	93.149208
638nm	93.383926
639nm	93.515472
640nm	93.601387
641nm	93.653404
642nm	93.517685
643nm	93.385773
644nm	93.259041
645nm	93.115997
646nm	92.961761
647nm	92.737106
648nm	92.483353
649nm	92.186615
650nm	91.705788
651nm	91.175621
652nm	90.879395
653nm	90.687866
654nm	90.651070
655nm	90.659081
656nm	90.690247
657nm	90.806374
658nm	90.934441
659nm	91.078781
660nm	91.379898
661nm	91.752113
662nm	92.307739
663nm	92.743355
664nm	93.039703
665nm	93.204849
666nm	93.311546
667nm	93.276329
668nm	93.203674
669nm	93.096848
670nm	93.010391
671nm	92.929420
672nm	92.857025
673nm	92.763443
674nm	92.655922
675nm	92.491280
676nm	92.319733
677nm	92.138245
678nm	91.716927
679nm	91.164589
680nm	90.243660
681nm	88.999985
682nm	87.362633
683nm	85.650650
684nm	83.993698
685nm	82.609444
686nm	81.436600
687nm	80.412514
688nm	79.842552
689nm	79.423470
690nm	79.251785
691nm	79.561935
692nm	80.129486
693nm	81.285606
694nm	82.446495
695nm	83.611618
696nm	84.627655
697nm	85.500694
698nm	86.099503
699nm	86.591209
700nm	87.022514
701nm	87.319519
702nm	87.586502
703nm	87.827118
704nm	87.944817
705nm	88.077019
706nm	88.250412
707nm	88.279083
708nm	88.259712
709nm	88.225121
710nm	87.896851
711nm	87.364693
712nm	86.498268
713nm	85.484322
714nm	84.283913
715nm	83.256325
716nm	82.253677
717nm	81.247536
718nm	80.375763
719nm	79.564407
720nm	78.804932
721nm	78.269524
722nm	77.896996
723nm	77.832863
724nm	77.958344
725nm	78.291992
726nm	78.779472
727nm	79.299843
728nm	79.854019
729nm	80.436035
730nm	81.054985
731nm	81.757416
732nm	82.499001
733nm	83.251991
734nm	83.988892
735nm	84.667351
736nm	85.296738
737nm	85.784966
738nm	86.219757
739nm	86.605873
740nm	86.781555
741nm	86.935760
742nm	87.069229
743nm	87.202209
744nm	87.279465
745nm	87.291130
746nm	87.262604
747nm	87.187744
748nm	87.052773
749nm	86.710899
750nm	86.124657
751nm	85.195457
752nm	83.702232
753nm	81.738075
754nm	79.120735
755nm	75.424980
756nm	71.371117
757nm	66.976532
758nm	62.911293
759nm	59.114559
760nm	55.677986
761nm	53.454449
762nm	51.949966
763nm	51.296951
764nm	51.933334
765nm	53.311676
766nm	55.509747
767nm	58.963799
768nm	62.650116
769nm	66.522339
770nm	70.098518
771nm	73.320587
