ENLIGHTEN Version,2.2.7
Measurement ID,20211003-134004-612972-WP-00591
Serial Number,WP-00591
Model,WP-UV-VIS-C-S-25
Label,13:40:04 WP-00591
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,60
Timestamp,2021-10-03 13:40:04.612972
Note,Dark substracted
Temperature,-15.327480412352088
CCD C0,247.9385986328125
CCD C1,0.5131465792655945
CCD C2,-0.00012270470324438065
CCD C3,7.728250039917839e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,0.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Processed
65,280.80,247.00
66,281.29,247.00
67,281.79,247.00
68,282.29,245.00
69,282.79,245.00
70,283.28,256.00
71,283.78,266.00
72,284.28,262.00
73,284.77,256.00
74,285.27,258.00
75,285.77,258.00
76,286.26,267.00
77,286.76,275.00
78,287.25,262.00
79,287.75,266.00
80,288.24,258.00
81,288.74,269.00
82,289.23,272.00
83,289.73,275.00
84,290.22,272.00
85,290.72,274.00
86,291.21,283.00
87,291.70,290.00
88,292.20,266.00
89,292.69,284.00
90,293.18,270.00
91,293.68,272.00
92,294.17,292.00
93,294.66,289.00
94,295.15,289.00
95,295.65,298.00
96,296.14,292.00
97,296.63,304.00
98,297.12,306.00
99,297.61,308.00
100,298.10,303.00
101,298.59,306.00
102,299.08,298.00
103,299.57,294.00
104,300.06,317.00
105,300.55,321.00
106,301.04,323.00
107,301.53,321.00
108,302.02,313.00
109,302.51,313.00
110,303.00,330.00
111,303.49,336.00
112,303.98,326.00
113,304.47,315.00
114,304.95,334.00
115,305.44,347.00
116,305.93,344.00
117,306.42,344.00
118,306.91,351.00
119,307.39,353.00
120,307.88,348.00
121,308.37,359.00
122,308.85,353.00
123,309.34,349.00
124,309.83,357.00
125,310.31,353.00
126,310.80,387.00
127,311.28,398.00
128,311.77,384.00
129,312.25,382.00
130,312.74,397.00
131,313.22,387.00
132,313.71,398.00
133,314.19,408.00
134,314.68,414.00
135,315.16,410.00
136,315.65,428.00
137,316.13,431.00
138,316.61,438.00
139,317.10,461.00
140,317.58,441.00
141,318.06,462.00
142,318.55,461.00
143,319.03,470.00
144,319.51,486.00
145,319.99,495.00
146,320.48,481.00
147,320.96,471.00
148,321.44,460.00
149,321.92,462.00
150,322.40,460.00
151,322.88,454.00
152,323.36,442.00
153,323.85,459.00
154,324.33,440.00
155,324.81,445.00
156,325.29,469.00
157,325.77,461.00
158,326.25,454.00
159,326.73,450.00
160,327.21,454.00
161,327.69,458.00
162,328.17,482.00
163,328.64,472.00
164,329.12,476.00
165,329.60,476.00
166,330.08,472.00
167,330.56,467.00
168,331.04,476.00
169,331.52,471.00
170,331.99,471.00
171,332.47,492.00
172,332.95,490.00
173,333.43,482.00
174,333.90,505.00
175,334.38,494.00
176,334.86,507.00
177,335.33,515.00
178,335.81,495.00
179,336.29,501.00
180,336.76,503.00
181,337.24,503.00
182,337.72,526.00
183,338.19,515.00
184,338.67,543.00
185,339.14,553.00
186,339.62,541.00
187,340.09,554.00
188,340.57,562.00
189,341.04,548.00
190,341.52,577.00
191,341.99,583.00
192,342.46,587.00
193,342.94,595.00
194,343.41,593.00
195,343.89,597.00
196,344.36,595.00
197,344.83,586.00
198,345.31,621.00
199,345.78,594.00
200,346.25,638.00
201,346.73,655.00
202,347.20,653.00
203,347.67,663.00
204,348.14,671.00
205,348.61,657.00
206,349.09,676.00
207,349.56,693.00
208,350.03,707.00
209,350.50,712.00
210,350.97,706.00
211,351.44,741.00
212,351.91,725.00
213,352.39,759.00
214,352.86,765.00
215,353.33,783.00
216,353.80,811.00
217,354.27,839.00
218,354.74,839.00
219,355.21,850.00
220,355.68,845.00
221,356.15,845.00
222,356.62,858.00
223,357.09,837.00
224,357.55,822.00
225,358.02,830.00
226,358.49,822.00
227,358.96,862.00
228,359.43,919.00
229,359.90,951.00
230,360.37,993.00
231,360.83,963.00
232,361.30,972.00
233,361.77,1004.00
234,362.24,1023.00
235,362.71,1086.00
236,363.17,1112.00
237,363.64,1112.00
238,364.11,1150.00
239,364.57,1169.00
240,365.04,1208.00
241,365.51,1276.00
242,365.97,1333.00
243,366.44,1371.00
244,366.91,1416.00
245,367.37,1409.00
246,367.84,1428.00
247,368.30,1441.00
248,368.77,1458.00
249,369.24,1484.00
250,369.70,1537.00
251,370.17,1583.00
252,370.63,1616.00
253,371.10,1599.00
254,371.56,1599.00
255,372.03,1627.00
256,372.49,1608.00
257,372.95,1602.00
258,373.42,1617.00
259,373.88,1593.00
260,374.35,1604.00
261,374.81,1693.00
262,375.27,1748.00
263,375.74,1857.00
264,376.20,1951.00
265,376.66,2061.00
266,377.13,2162.00
267,377.59,2276.00
268,378.05,2431.00
269,378.52,2468.00
270,378.98,2530.00
271,379.44,2525.00
272,379.90,2563.00
273,380.37,2578.00
274,380.83,2668.00
275,381.29,2685.00
276,381.75,2679.00
277,382.21,2564.00
278,382.67,2512.00
279,383.14,2511.00
280,383.60,2578.00
281,384.06,2718.00
282,384.52,2907.00
283,384.98,3164.00
284,385.44,3379.00
285,385.90,3527.00
286,386.36,3617.00
287,386.82,3700.00
288,387.28,3848.00
289,387.74,3964.00
290,388.20,4142.00
291,388.66,4359.00
292,389.12,4509.00
293,389.58,4801.00
294,390.04,5109.00
295,390.50,5352.00
296,390.96,5469.00
297,391.42,5475.00
298,391.88,5381.00
299,392.34,5195.00
300,392.80,4983.00
301,393.25,4762.00
302,393.71,4678.00
303,394.17,4726.00
304,394.63,5078.00
305,395.09,5528.00
306,395.55,5792.00
307,396.00,5976.00
308,396.46,5986.00
309,396.92,6043.00
310,397.38,6025.00
311,397.83,6519.00
312,398.29,7219.00
313,398.75,8118.00
314,399.21,8765.00
315,399.66,9306.00
316,400.12,9655.00
317,400.58,9864.00
318,401.03,10181.00
319,401.49,10381.00
320,401.94,10664.00
321,402.40,10806.00
322,402.86,10926.00
323,403.31,10985.00
324,403.77,11025.00
325,404.22,11087.00
326,404.68,11187.00
327,405.14,11235.00
328,405.59,11221.00
329,406.05,11332.00
330,406.50,11389.00
331,406.96,11450.00
332,407.41,11628.00
333,407.87,11767.00
334,408.32,12005.00
335,408.78,12245.00
336,409.23,12306.00
337,409.68,12479.00
338,410.14,12479.00
339,410.59,12488.00
340,411.05,12531.00
341,411.50,12817.00
342,411.95,13209.00
343,412.41,13566.00
344,412.86,13646.00
345,413.32,13645.00
346,413.77,13768.00
347,414.22,13779.00
348,414.68,14001.00
349,415.13,14058.00
350,415.58,14113.00
351,416.03,14194.00
352,416.49,14197.00
353,416.94,14362.00
354,417.39,14394.00
355,417.84,14266.00
356,418.30,14128.00
357,418.75,14160.00
358,419.20,14322.00
359,419.65,14478.00
360,420.11,14686.00
361,420.56,14675.00
362,421.01,14875.00
363,421.46,14948.00
364,421.91,15131.00
365,422.36,15127.00
366,422.81,15045.00
367,423.27,14976.00
368,423.72,14892.00
369,424.17,15060.00
370,424.62,15139.00
371,425.07,15241.00
372,425.52,15362.00
373,425.97,15304.00
374,426.42,15292.00
375,426.87,15251.00
376,427.32,15254.00
377,427.77,15171.00
378,428.22,14888.00
379,428.67,14753.00
380,429.12,14546.00
381,429.57,14237.00
382,430.02,13949.00
383,430.47,13803.00
384,430.92,13794.00
385,431.37,13922.00
386,431.82,14448.00
387,432.27,15297.00
388,432.72,16147.00
389,433.17,16526.00
390,433.62,16573.00
391,434.06,16689.00
392,434.51,16778.00
393,434.96,16800.00
394,435.41,17100.00
395,435.86,17536.00
396,436.31,17887.00
397,436.76,18056.00
398,437.20,18098.00
399,437.65,17960.00
400,438.10,17870.00
401,438.55,17665.00
402,439.00,17572.00
403,439.44,17591.00
404,439.89,17887.00
405,440.34,18360.00
406,440.79,18806.00
407,441.23,19035.00
408,441.68,19218.00
409,442.13,19640.00
410,442.58,19998.00
411,443.02,20190.00
412,443.47,20363.00
413,443.92,20441.00
414,444.36,20452.00
415,444.81,20515.00
416,445.26,20507.00
417,445.70,20572.00
418,446.15,20688.00
419,446.60,20632.00
420,447.04,20885.00
421,447.49,21248.00
422,447.93,21563.00
423,448.38,21916.00
424,448.83,22195.00
425,449.27,22436.00
426,449.72,22555.00
427,450.16,22758.00
428,450.61,23088.00
429,451.05,23264.00
430,451.50,23349.00
431,451.95,23393.00
432,452.39,23278.00
433,452.84,22956.00
434,453.28,22731.00
435,453.73,22561.00
436,454.17,22466.00
437,454.62,22766.00
438,455.06,23173.00
439,455.51,23383.00
440,455.95,23565.00
441,456.39,23700.00
442,456.84,24012.00
443,457.28,24164.00
444,457.73,24114.00
445,458.17,24180.00
446,458.62,24201.00
447,459.06,24087.00
448,459.50,23990.00
449,459.95,24197.00
450,460.39,24365.00
451,460.84,24547.00
452,461.28,24763.00
453,461.72,25048.00
454,462.17,25243.00
455,462.61,25415.00
456,463.05,25415.00
457,463.50,25357.00
458,463.94,25382.00
459,464.38,25198.00
460,464.83,25198.00
461,465.27,25091.00
462,465.71,25033.00
463,466.16,25234.00
464,466.60,25129.00
465,467.04,25301.00
466,467.48,25187.00
467,467.93,25203.00
468,468.37,25350.00
469,468.81,25648.00
470,469.25,25644.00
471,469.70,25682.00
472,470.14,25715.00
473,470.58,25775.00
474,471.02,25697.00
475,471.46,25769.00
476,471.91,26143.00
477,472.35,26284.00
478,472.79,26612.00
479,473.23,26812.00
480,473.67,26848.00
481,474.12,26867.00
482,474.56,26846.00
483,475.00,26998.00
484,475.44,27083.00
485,475.88,27117.00
486,476.32,27064.00
487,476.76,27087.00
488,477.21,27182.00
489,477.65,27223.00
490,478.09,27518.00
491,478.53,27850.00
492,478.97,28074.00
493,479.41,28006.00
494,479.85,28089.00
495,480.29,28116.00
496,480.73,28283.00
497,481.17,28351.00
498,481.61,28345.00
499,482.05,28346.00
500,482.49,28370.00
501,482.94,28387.00
502,483.38,28308.00
503,483.82,27972.00
504,484.26,27818.00
505,484.70,27305.00
506,485.14,26838.00
507,485.58,26341.00
508,486.02,25786.00
509,486.46,25276.00
510,486.90,24818.00
511,487.34,24738.00
512,487.78,25268.00
513,488.21,25972.00
514,488.65,26597.00
515,489.09,27112.00
516,489.53,27319.00
517,489.97,27410.00
518,490.41,27581.00
519,490.85,27793.00
520,491.29,27831.00
521,491.73,27635.00
522,492.17,27607.00
523,492.61,27393.00
524,493.05,27356.00
525,493.49,27522.00
526,493.93,27892.00
527,494.36,28163.00
528,494.80,28296.00
529,495.24,28617.00
530,495.68,28858.00
531,496.12,28890.00
532,496.56,28832.00
533,497.00,28832.00
534,497.43,28731.00
535,497.87,28887.00
536,498.31,28757.00
537,498.75,28678.00
538,499.19,28495.00
539,499.63,28344.00
540,500.06,28423.00
541,500.50,28484.00
542,500.94,28325.00
543,501.38,28156.00
544,501.82,28074.00
545,502.25,27985.00
546,502.69,28029.00
547,503.13,28218.00
548,503.57,28414.00
549,504.01,28674.00
550,504.44,28799.00
551,504.88,28813.00
552,505.32,29048.00
553,505.76,29339.00
554,506.19,29634.00
555,506.63,29815.00
556,507.07,29866.00
557,507.51,29815.00
558,507.94,29680.00
559,508.38,29583.00
560,508.82,29542.00
561,509.25,29612.00
562,509.69,29855.00
563,510.13,30183.00
564,510.57,30263.00
565,511.00,30196.00
566,511.44,30360.00
567,511.88,30251.00
568,512.31,30434.00
569,512.75,30390.00
570,513.19,30079.00
571,513.62,29857.00
572,514.06,29596.00
573,514.50,29584.00
574,514.93,29536.00
575,515.37,29321.00
576,515.81,29141.00
577,516.24,28898.00
578,516.68,28636.00
579,517.12,28087.00
580,517.55,27531.00
581,517.99,27098.00
582,518.42,27224.00
583,518.86,27848.00
584,519.30,28315.00
585,519.73,28693.00
586,520.17,29226.00
587,520.60,29712.00
588,521.04,30153.00
589,521.48,30155.00
590,521.91,30210.00
591,522.35,30318.00
592,522.78,30356.00
593,523.22,30538.00
594,523.66,30612.00
595,524.09,30667.00
596,524.53,31022.00
597,524.96,31358.00
598,525.40,31404.00
599,525.83,31104.00
600,526.27,30696.00
601,526.71,30397.00
602,527.14,30089.00
603,527.58,29864.00
604,528.01,29990.00
605,528.45,30704.00
606,528.88,31472.00
607,529.32,32000.00
608,529.75,32279.00
609,530.19,32565.00
610,530.62,32607.00
611,531.06,32571.00
612,531.49,32449.00
613,531.93,32531.00
614,532.36,32509.00
615,532.80,32300.00
616,533.23,32180.00
617,533.67,31938.00
618,534.10,32019.00
619,534.54,32454.00
620,534.97,32840.00
621,535.41,33004.00
622,535.84,33355.00
623,536.28,33442.00
624,536.71,33570.00
625,537.15,33504.00
626,537.58,33339.00
627,538.02,33217.00
628,538.45,33285.00
629,538.89,33405.00
630,539.32,33424.00
631,539.75,33302.00
632,540.19,33044.00
633,540.62,32907.00
634,541.06,32793.00
635,541.49,32874.00
636,541.93,33003.00
637,542.36,33358.00
638,542.80,33707.00
639,543.23,33848.00
640,543.66,34043.00
641,544.10,34234.00
642,544.53,34305.00
643,544.97,34586.00
644,545.40,34755.00
645,545.84,34772.00
646,546.27,34954.00
647,546.70,34882.00
648,547.14,34779.00
649,547.57,34884.00
650,548.01,34823.00
651,548.44,34990.00
652,548.87,34902.00
653,549.31,35305.00
654,549.74,35478.00
655,550.17,35717.00
656,550.61,35689.00
657,551.04,35776.00
658,551.48,35718.00
659,551.91,35807.00
660,552.34,35842.00
661,552.78,36101.00
662,553.21,36246.00
663,553.65,36197.00
664,554.08,36177.00
665,554.51,36457.00
666,554.95,36509.00
667,555.38,36555.00
668,555.81,36548.00
669,556.25,36619.00
670,556.68,36477.00
671,557.11,36271.00
672,557.55,36042.00
673,557.98,35907.00
674,558.41,35747.00
675,558.85,35774.00
676,559.28,35851.00
677,559.71,35713.00
678,560.15,35625.00
679,560.58,35956.00
680,561.01,36273.00
681,561.45,36297.00
682,561.88,36677.00
683,562.31,36820.00
684,562.75,36750.00
685,563.18,36845.00
686,563.61,36991.00
687,564.05,37022.00
688,564.48,37082.00
689,564.91,36894.00
690,565.35,36849.00
691,565.78,36910.00
692,566.21,36928.00
693,566.65,36792.00
694,567.08,36841.00
695,567.51,36936.00
696,567.95,37155.00
697,568.38,37278.00
698,568.81,37198.00
699,569.24,37055.00
700,569.68,36841.00
701,570.11,36807.00
702,570.54,36762.00
703,570.98,36862.00
704,571.41,36885.00
705,571.84,37061.00
706,572.28,37316.00
707,572.71,37695.00
708,573.14,38043.00
709,573.57,38299.00
710,574.01,38284.00
711,574.44,38345.00
712,574.87,38346.00
713,575.31,38208.00
714,575.74,38119.00
715,576.17,38083.00
716,576.60,38117.00
717,577.04,38244.00
718,577.47,38297.00
719,577.90,38592.00
720,578.33,38626.00
721,578.77,38663.00
722,579.20,38721.00
723,579.63,38800.00
724,580.07,39211.00
725,580.50,39706.00
726,580.93,40192.00
727,581.36,40448.00
728,581.80,40662.00
729,582.23,40782.00
730,582.66,41082.00
731,583.09,41411.00
732,583.53,41715.00
733,583.96,41794.00
734,584.39,41894.00
735,584.82,41855.00
736,585.26,41665.00
737,585.69,41659.00
738,586.12,41507.00
739,586.55,41567.00
740,586.99,41492.00
741,587.42,41494.00
742,587.85,41134.00
743,588.28,40562.00
744,588.72,39866.00
745,589.15,39009.00
746,589.58,38557.00
747,590.01,38123.00
748,590.45,38356.00
749,590.88,39006.00
750,591.31,39901.00
751,591.74,40598.00
752,592.18,40944.00
753,592.61,41042.00
754,593.04,41282.00
755,593.47,41407.00
756,593.91,41470.00
757,594.34,41445.00
758,594.77,41511.00
759,595.20,41532.00
760,595.64,41906.00
761,596.07,42085.00
762,596.50,42424.00
763,596.93,42852.00
764,597.37,43009.00
765,597.80,43053.00
766,598.23,43230.00
767,598.66,43203.00
768,599.10,43304.00
769,599.53,43487.00
770,599.96,43599.00
771,600.39,43801.00
772,600.83,43785.00
773,601.26,43835.00
774,601.69,43903.00
775,602.12,43968.00
776,602.55,44065.00
777,602.99,44391.00
778,603.42,44623.00
779,603.85,45312.00
780,604.28,45621.00
781,604.72,45901.00
782,605.15,45973.00
783,605.58,45943.00
784,606.01,46160.00
785,606.45,46192.00
786,606.88,46186.00
787,607.31,46267.00
788,607.74,46446.00
789,608.18,46307.00
790,608.61,46426.00
791,609.04,46251.00
792,609.47,46135.00
793,609.91,46392.00
794,610.34,46470.00
795,610.77,46601.00
796,611.20,46510.00
797,611.63,46563.00
798,612.07,46818.00
799,612.50,46880.00
800,612.93,46915.00
801,613.36,46709.00
802,613.80,46797.00
803,614.23,46825.00
804,614.66,46931.00
805,615.09,46874.00
806,615.53,47126.00
807,615.96,47081.00
808,616.39,46954.00
809,616.82,46855.00
810,617.26,46821.00
811,617.69,47192.00
812,618.12,47791.00
813,618.55,48137.00
814,618.99,48668.00
815,619.42,48891.00
816,619.85,48911.00
817,620.28,49015.00
818,620.72,49364.00
819,621.15,49444.00
820,621.58,49379.00
821,622.01,49343.00
822,622.45,49127.00
823,622.88,48972.00
824,623.31,48902.00
825,623.74,48963.00
826,624.18,48855.00
827,624.61,48764.00
828,625.04,48913.00
829,625.47,48703.00
830,625.91,48766.00
831,626.34,48731.00
832,626.77,48669.00
833,627.20,48642.00
834,627.64,48480.00
835,628.07,48161.00
836,628.50,47898.00
837,628.93,47727.00
838,629.37,47900.00
839,629.80,48312.00
840,630.23,48445.00
841,630.66,48595.00
842,631.10,48686.00
843,631.53,48835.00
844,631.96,49205.00
845,632.39,49522.00
846,632.83,49549.00
847,633.26,49965.00
848,633.69,50220.00
849,634.13,50491.00
850,634.56,50707.00
851,634.99,50696.00
852,635.42,50949.00
853,635.86,51102.00
854,636.29,51306.00
855,636.72,51399.00
856,637.15,51590.00
857,637.59,51871.00
858,638.02,52217.00
859,638.45,52581.00
860,638.89,52572.00
861,639.32,52466.00
862,639.75,52376.00
863,640.18,52144.00
864,640.62,52032.00
865,641.05,52152.00
866,641.48,52226.00
867,641.92,52386.00
868,642.35,52302.00
869,642.78,52507.00
870,643.21,52777.00
871,643.65,52971.00
872,644.08,53015.00
873,644.51,53062.00
874,644.95,52784.00
875,645.38,52817.00
876,645.81,52539.00
877,646.25,52082.00
878,646.68,51795.00
879,647.11,51618.00
880,647.54,51421.00
881,647.98,51332.00
882,648.41,51018.00
883,648.84,50991.00
884,649.28,51043.00
885,649.71,51294.00
886,650.14,51482.00
887,650.58,51573.00
888,651.01,52204.00
889,651.44,52832.00
890,651.88,52855.00
891,652.31,52917.00
892,652.74,53005.00
893,653.18,53136.00
894,653.61,53635.00
895,654.04,53695.00
896,654.47,53229.00
897,654.91,52404.00
898,655.34,51159.00
899,655.77,49967.00
900,656.21,48927.00
901,656.64,48433.00
902,657.08,48283.00
903,657.51,49046.00
904,657.94,51036.00
905,658.38,52939.00
906,658.81,54073.00
907,659.24,54582.00
908,659.68,54865.00
909,660.11,55186.00
910,660.54,55392.00
911,660.98,55772.00
912,661.41,56171.00
913,661.84,56504.00
914,662.28,56690.00
915,662.71,56561.00
916,663.14,56693.00
917,663.58,56700.00
918,664.01,56667.00
919,664.45,56606.00
920,664.88,56839.00
921,665.31,57074.00
922,665.75,57171.00
923,666.18,57284.00
924,666.61,57325.00
925,667.05,57312.00
926,667.48,57200.00
927,667.92,57468.00
928,668.35,57507.00
929,668.78,57552.00
930,669.22,57637.00
931,669.65,57896.00
932,670.08,57961.00
933,670.52,57832.00
934,670.95,57681.00
935,671.39,57555.00
936,671.82,57591.00
937,672.25,57729.00
938,672.69,57682.00
939,673.12,57980.00
940,673.56,58140.00
941,673.99,58337.00
942,674.43,58409.00
943,674.86,58466.00
944,675.29,58496.00
945,675.73,58580.00
946,676.16,58631.00
947,676.60,58675.00
948,677.03,58776.00
949,677.46,58903.00
950,677.90,58768.00
951,678.33,58848.00
952,678.77,58990.00
953,679.20,58947.00
954,679.64,58958.00
955,680.07,59057.00
956,680.51,59097.00
957,680.94,59233.00
958,681.37,59087.00
959,681.81,59151.00
960,682.24,59195.00
961,682.68,59276.00
962,683.11,59299.00
963,683.55,59136.00
964,683.98,59073.00
965,684.42,58796.00
966,684.85,58401.00
967,685.29,57350.00
968,685.72,56159.00
969,686.15,54094.00
970,686.59,51645.00
971,687.02,49365.00
972,687.46,46819.00
973,687.89,44285.00
974,688.33,43759.00
975,688.76,46042.00
976,689.20,48492.00
977,689.63,49547.00
978,690.07,49643.00
979,690.50,50584.00
980,690.94,51801.00
981,691.37,52737.00
982,691.81,53493.00
983,692.24,53986.00
984,692.68,54221.00
985,693.11,54296.00
986,693.55,54079.00
987,693.98,53999.00
988,694.42,54018.00
989,694.85,54398.00
990,695.29,54707.00
991,695.73,55684.00
992,696.16,56609.00
993,696.60,57269.00
994,697.03,58001.00
995,697.47,58831.00
996,697.90,58853.00
997,698.34,58686.00
998,698.77,58149.00
999,699.21,57593.00
1000,699.64,57348.00
1001,700.08,56942.00
1002,700.51,56957.00
1003,700.95,57024.00
1004,701.39,57120.00
1005,701.82,57257.00
1006,702.26,57699.00
1007,702.69,57836.00
1008,703.13,58373.00
1009,703.56,58951.00
1010,704.00,59569.00
1011,704.44,60207.00
1012,704.87,60268.00
1013,705.31,60590.00
1014,705.74,60737.00
1015,706.18,60591.00
1016,706.62,60560.00
1017,707.05,60648.00
1018,707.49,60858.00
1019,707.92,61128.00
1020,708.36,61162.00
1021,708.80,61149.00
1022,709.23,61251.00
1023,709.67,61138.00
