ENLIGHTEN Version,2.2.7
Measurement ID,20211003-134004-612972-WP-00591
Serial Number,WP-00591
Model,WP-UV-VIS-C-S-25
Label,13:40:04 WP-00591
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Scope
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,60
Timestamp,2021-10-03 13:40:04.612972
Note,Dark substracted
Temperature,-15.327480412352088
CCD C0,247.9385986328125
CCD C1,0.5131465792655945
CCD C2,-0.00012270470324438065
CCD C3,7.728250039917839e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,0.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Processed
0,247.94,175.00
1,248.45,178.00
2,248.96,175.00
3,249.48,180.00
4,249.99,182.00
5,250.50,190.00
6,251.01,173.00
7,251.52,180.00
8,252.04,196.00
9,252.55,196.00
10,253.06,193.00
11,253.57,197.00
12,254.08,177.00
13,254.59,196.00
14,255.10,188.00
15,255.61,192.00
16,256.12,203.00
17,256.63,197.00
18,257.14,192.00
19,257.64,199.00
20,258.15,197.00
21,258.66,192.00
22,259.17,203.00
23,259.68,188.00
24,260.18,191.00
25,260.69,213.00
26,261.20,213.00
27,261.71,203.00
28,262.21,201.00
29,262.72,195.00
30,263.22,203.00
31,263.73,213.00
32,264.24,207.00
33,264.74,219.00
34,265.25,217.00
35,265.75,199.00
36,266.26,222.00
37,266.76,214.00
38,267.27,220.00
39,267.77,203.00
40,268.27,197.00
41,268.78,218.00
42,269.28,215.00
43,269.78,209.00
44,270.29,220.00
45,270.79,222.00
46,271.29,216.00
47,271.79,228.00
48,272.30,228.00
49,272.80,218.00
50,273.30,231.00
51,273.80,212.00
52,274.30,241.00
53,274.80,236.00
54,275.30,230.00
55,275.80,235.00
56,276.30,230.00
57,276.80,227.00
58,277.30,237.00
59,277.80,239.00
60,278.30,239.00
61,278.80,253.00
62,279.30,249.00
63,279.80,253.00
64,280.30,247.00
