ENLIGHTEN Version,2.1.14
Measurement ID,20200528-135723-541620-WP-00413
Serial Number,WP-00413
Model,WP-785-C-ER2-S
Label,13:57:23 WP-00413
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Raman
Baseline Correction Algo,
ROI Pixel Start,10
ROI Pixel End,950
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Integration Time,8
Timestamp,2020-05-28 13:57:23.541620
Note,
Temperature,-15.223068295308622
CCD C0,792.331787109375
CCD C1,0.27772772312164307
CCD C2,1.696601430012379e-05
CCD C3,-2.4665144593427613e-08
CCD Offset,300
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Wavelength,Processed
792.33,1196.00
792.61,1196.00
792.89,1184.00
793.17,1205.00
793.44,1205.00
793.72,1211.00
794.00,1215.00
794.28,1230.00
794.55,1213.00
794.83,1243.00
795.11,1207.00
795.39,1216.00
795.67,1209.00
795.95,1209.00
796.22,1224.00
796.50,1232.00
796.78,1220.00
797.06,1241.00
797.34,1245.00
797.61,1241.00
797.89,1254.00
798.17,1253.00
798.45,1258.00
798.73,1247.00
799.01,1260.00
799.29,1232.00
799.56,1234.00
799.84,1232.00
800.12,1237.00
800.40,1226.00
800.68,1239.00
800.96,1237.00
801.24,1251.00
801.51,1247.00
801.79,1243.00
802.07,1254.00
802.35,1235.00
802.63,1243.00
802.91,1254.00
803.19,1264.00
803.47,1260.00
803.75,1251.00
804.02,1234.00
804.30,1245.00
804.58,1245.00
804.86,1268.00
805.14,1268.00
805.42,1283.00
805.70,1245.00
805.98,1275.00
806.26,1277.00
806.54,1264.00
806.82,1262.00
807.10,1285.00
807.37,1270.00
807.65,1273.00
807.93,1290.00
808.21,1266.00
808.49,1290.00
808.77,1256.00
809.05,1258.00
809.33,1245.00
809.61,1254.00
809.89,1254.00
810.17,1281.00
810.45,1251.00
810.73,1260.00
811.01,1241.00
811.29,1277.00
811.57,1292.00
811.85,1249.00
812.13,1258.00
812.41,1266.00
812.69,1237.00
812.97,1209.00
813.25,1205.00
813.53,1216.00
813.81,1205.00
814.09,1196.00
814.37,1180.00
814.65,1201.00
814.93,1178.00
815.21,1184.00
815.49,1192.00
815.77,1154.00
816.05,1144.00
816.33,1169.00
816.61,1190.00
816.89,1216.00
817.17,1184.00
817.45,1158.00
817.73,1180.00
818.01,1175.00
818.29,1201.00
818.57,1199.00
818.85,1184.00
