 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             2  streams

 w-grid:          501    280.0000        780.0000    
 z-grid:           82    3.000000        80.00000    
  measurement point: index            4  altitude=    5.000000    
 idate =      20180801  esfact(1) =    0.9706353    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 lat=    60.00000      long=   -15.00000      ut=    4.000000    
 solar zenith angle =     94.43167    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 280.00     281.00    -0.000E+00  6.423E-18     8.840E-19   6.423E-18
 281.00     282.00    -0.000E+00  1.708E-16     2.462E-17   1.708E-16
 282.00     283.00    -0.000E+00  1.952E-15     2.928E-16   1.952E-15
 283.00     284.00    -0.000E+00  8.555E-15     1.313E-15   8.555E-15
 284.00     285.00    -0.000E+00  7.853E-14     1.262E-14   7.853E-14
 285.00     286.00    -0.000E+00  2.525E-13     4.200E-14   2.525E-13
 286.00     287.00    -0.000E+00  2.791E-12     4.760E-13   2.791E-12
 287.00     288.00    -0.000E+00  1.499E-11     2.629E-12   1.499E-11
 288.00     289.00    -0.000E+00  7.065E-11     1.279E-11   7.065E-11
 289.00     290.00    -0.000E+00  3.708E-10     6.858E-11   3.708E-10
 290.00     291.00    -0.000E+00  1.433E-09     2.694E-10   1.433E-09
 291.00     292.00    -0.000E+00  4.373E-09     8.386E-10   4.373E-09
 292.00     293.00    -0.000E+00  1.022E-08     1.991E-09   1.022E-08
 293.00     294.00    -0.000E+00  2.886E-08     5.700E-09   2.886E-08
 294.00     295.00    -0.000E+00  5.408E-08     1.079E-08   5.408E-08
 295.00     296.00    -0.000E+00  1.350E-07     2.723E-08   1.350E-07
 296.00     297.00    -0.000E+00  2.359E-07     4.801E-08   2.359E-07
 297.00     298.00    -0.000E+00  4.557E-07     9.336E-08   4.557E-07
 298.00     299.00    -0.000E+00  5.511E-07     1.135E-07   5.511E-07
 299.00     300.00    -0.000E+00  1.254E-06     2.593E-07   1.254E-06
 300.00     301.00    -0.000E+00  1.204E-06     2.494E-07   1.204E-06
 301.00     302.00    -0.000E+00  2.478E-06     5.148E-07   2.478E-06
 302.00     303.00    -0.000E+00  3.181E-06     6.608E-07   3.181E-06
 303.00     304.00    -0.000E+00  5.695E-06     1.184E-06   5.695E-06
