ENLIGHTEN Version,2.2.7
Measurement ID,20211004-005336-877725-WP-00591
Serial Number,WP-00591
Model,WP-UV-VIS-C-S-25
Label,00:53:36 WP-00591
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Absorbance
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,25
Timestamp,2021-10-04 00:53:36.877725
Note,Dark substracted
Temperature,-14.56424103398058
CCD C0,247.9385986328125
CCD C1,0.5131465792655945
CCD C2,-0.00012270470324438065
CCD C3,7.728250039917839e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,0.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Processed,Raw,Dark,Reference
0,247.94,0.18046,856.00000,823.00000,50.00000
1,248.45,0.37675,844.00000,823.00000,50.00000
2,248.96,0.14424,856.00000,823.00000,46.00000
3,249.48,0.30103,850.00000,831.00000,38.00000
4,249.99,0.24667,846.00000,829.00000,30.00000
5,250.50,0.17609,856.00000,822.00000,51.00000
6,251.01,0.08130,856.00000,822.00000,41.00000
7,251.52,0.08842,856.00000,825.00000,38.00000
8,252.04,0.08715,859.00000,823.00000,44.00000
9,252.55,0.27470,848.00000,831.00000,32.00000
10,253.06,0.10390,859.00000,822.00000,47.00000
11,253.57,0.11394,863.00000,823.00000,52.00000
12,254.08,0.17070,854.00000,827.00000,40.00000
13,254.59,0.20888,859.00000,825.00000,55.00000
14,255.10,0.11070,856.00000,825.00000,40.00000
15,255.61,0.19457,850.00000,827.00000,36.00000
16,256.12,0.20926,852.00000,831.00000,34.00000
17,256.63,0.07741,859.00000,818.00000,49.00000
18,257.14,0.16537,861.00000,820.00000,60.00000
19,257.64,0.08715,863.00000,827.00000,44.00000
20,258.15,0.19781,848.00000,822.00000,41.00000
21,258.66,0.17140,858.00000,827.00000,46.00000
22,259.17,0.08842,858.00000,827.00000,38.00000
23,259.68,0.24988,854.00000,827.00000,48.00000
24,260.18,0.15297,861.00000,816.00000,64.00000
25,260.69,0.00000,869.00000,829.00000,32.00000
26,261.20,0.41144,841.00000,822.00000,49.00000
27,261.71,0.21806,850.00000,827.00000,38.00000
28,262.21,0.06695,861.00000,825.00000,42.00000
29,262.72,0.26152,852.00000,829.00000,42.00000
30,263.22,0.05931,863.00000,822.00000,47.00000
31,263.73,0.22531,858.00000,833.00000,42.00000
32,264.24,0.05799,863.00000,835.00000,32.00000
33,264.74,0.47712,848.00000,833.00000,45.00000
34,265.25,0.18564,859.00000,829.00000,46.00000
35,265.75,0.13263,867.00000,825.00000,57.00000
36,266.26,0.14842,858.00000,831.00000,38.00000
37,266.76,0.00000,865.00000,827.00000,36.00000
38,267.27,0.12494,863.00000,827.00000,48.00000
39,267.77,0.41144,848.00000,829.00000,49.00000
40,268.27,0.05931,863.00000,822.00000,47.00000
41,268.78,0.24551,856.00000,831.00000,44.00000
42,269.28,0.37161,852.00000,835.00000,40.00000
43,269.78,0.16749,859.00000,825.00000,50.00000
44,270.29,0.14309,861.00000,820.00000,57.00000
45,270.79,0.19280,859.00000,825.00000,53.00000
46,271.29,0.22185,858.00000,825.00000,55.00000
47,271.79,0.13389,865.00000,829.00000,49.00000
48,272.30,0.13189,858.00000,827.00000,42.00000
49,272.80,0.19189,858.00000,831.00000,42.00000
50,273.30,0.12494,858.00000,825.00000,44.00000
51,273.80,0.18406,859.00000,823.00000,55.00000
52,274.30,0.19728,867.00000,827.00000,63.00000
53,274.80,0.10763,869.00000,837.00000,41.00000
54,275.30,0.22440,859.00000,825.00000,57.00000
55,275.80,0.24598,856.00000,814.00000,74.00000
56,276.30,0.23937,852.00000,818.00000,59.00000
57,276.80,0.10646,861.00000,825.00000,46.00000
58,277.30,0.19957,861.00000,825.00000,57.00000
59,277.80,0.17609,861.00000,827.00000,51.00000
60,278.30,0.22440,854.00000,820.00000,57.00000
61,278.80,0.27621,854.00000,827.00000,51.00000
62,279.30,0.42882,848.00000,829.00000,51.00000
63,279.80,0.21560,859.00000,831.00000,46.00000
64,280.30,0.12832,871.00000,839.00000,43.00000
65,280.80,0.16797,858.00000,822.00000,53.00000
66,281.29,0.26188,858.00000,829.00000,53.00000
