 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             2  streams

 w-grid:          141    280.0000        420.0000    
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     0.000000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 348.00     349.00     3.882E-01  3.582E-01     7.464E-02   7.464E-01
 349.00     350.00     3.271E-01  2.981E-01     6.253E-02   6.253E-01
 350.00     351.00     4.605E-01  4.146E-01     8.751E-02   8.751E-01
 351.00     352.00     3.991E-01  3.549E-01     7.539E-02   7.539E-01
 352.00     353.00     3.618E-01  3.179E-01     6.797E-02   6.797E-01
 353.00     354.00     4.378E-01  3.801E-01     8.178E-02   8.178E-01
 354.00     355.00     4.762E-01  4.086E-01     8.848E-02   8.848E-01
 355.00     356.00     4.473E-01  3.793E-01     8.265E-02   8.265E-01
 356.00     357.00     4.171E-01  3.496E-01     7.667E-02   7.667E-01
 357.00     358.00     3.565E-01  2.953E-01     6.517E-02   6.517E-01
 358.00     359.00     2.764E-01  2.263E-01     5.027E-02   5.027E-01
 359.00     360.00     4.674E-01  3.783E-01     8.457E-02   8.457E-01
 360.00     361.00     4.353E-01  3.484E-01     7.836E-02   7.836E-01
 361.00     362.00     3.942E-01  3.120E-01     7.062E-02   7.062E-01
 362.00     363.00     4.650E-01  3.639E-01     8.290E-02   8.290E-01
 363.00     364.00     4.155E-01  3.216E-01     7.371E-02   7.371E-01
 364.00     365.00     4.553E-01  3.485E-01     8.038E-02   8.038E-01
 365.00     366.00     5.572E-01  4.219E-01     9.791E-02   9.791E-01
 366.00     367.00     5.922E-01  4.436E-01     1.036E-01   1.036E+00
 367.00     368.00     5.647E-01  4.184E-01     9.831E-02   9.831E-01
 368.00     369.00     4.981E-01  3.652E-01     8.633E-02   8.633E-01
 369.00     370.00     6.000E-01  4.352E-01     1.035E-01   1.035E+00
 370.00     371.00     5.466E-01  3.923E-01     9.388E-02   9.388E-01
 371.00     372.00     6.279E-01  4.459E-01     1.074E-01   1.074E+00
 372.00     373.00     4.656E-01  3.273E-01     7.929E-02   7.929E-01
 373.00     374.00     4.225E-01  2.939E-01     7.164E-02   7.164E-01
 374.00     375.00     4.655E-01  3.205E-01     7.860E-02   7.860E-01
 375.00     376.00     5.272E-01  3.593E-01     8.866E-02   8.866E-01
 376.00     377.00     5.284E-01  3.566E-01     8.850E-02   8.850E-01
 377.00     378.00     6.316E-01  4.219E-01     1.053E-01   1.053E+00
 378.00     379.00     6.909E-01  4.570E-01     1.148E-01   1.148E+00
 379.00     380.00     5.130E-01  3.360E-01     8.489E-02   8.489E-01
 380.00     381.00     6.191E-01  4.015E-01     1.021E-01   1.021E+00
 381.00     382.00     5.838E-01  3.749E-01     9.587E-02   9.587E-01
 382.00     383.00     3.904E-01  2.483E-01     6.386E-02   6.386E-01
 383.00     384.00     3.439E-01  2.167E-01     5.606E-02   5.606E-01
 384.00     385.00     5.179E-01  3.232E-01     8.411E-02   8.411E-01
 385.00     386.00     5.141E-01  3.178E-01     8.319E-02   8.319E-01
 386.00     387.00     5.258E-01  3.219E-01     8.477E-02   8.477E-01
 387.00     388.00     4.902E-01  2.974E-01     7.876E-02   7.876E-01
 388.00     389.00     4.930E-01  2.963E-01     7.892E-02   7.892E-01
 389.00     390.00     6.236E-01  3.713E-01     9.950E-02   9.950E-01
 390.00     391.00     6.145E-01  3.626E-01     9.770E-02   9.770E-01
 391.00     392.00     7.312E-01  4.275E-01     1.159E-01   1.159E+00
 392.00     393.00     5.500E-01  3.187E-01     8.687E-02   8.687E-01
 393.00     394.00     2.398E-01  1.377E-01     3.776E-02   3.776E-01
 394.00     395.00     5.661E-01  3.222E-01     8.882E-02   8.882E-01
 395.00     396.00     7.305E-01  4.121E-01     1.143E-01   1.143E+00
 396.00     397.00     4.302E-01  2.405E-01     6.707E-02   6.707E-01
 397.00     398.00     4.978E-01  2.759E-01     7.738E-02   7.738E-01
 398.00     399.00     8.579E-01  4.714E-01     1.329E-01   1.329E+00
 399.00     400.00     8.949E-01  4.875E-01     1.382E-01   1.382E+00
 400.00     401.00     9.434E-01  5.095E-01     1.453E-01   1.453E+00
 401.00     402.00     9.733E-01  5.212E-01     1.495E-01   1.495E+00
 402.00     403.00     1.013E+00  5.380E-01     1.551E-01   1.551E+00
 403.00     404.00     9.299E-01  4.896E-01     1.420E-01   1.420E+00
 404.00     405.00     9.145E-01  4.775E-01     1.392E-01   1.392E+00
 405.00     406.00     9.525E-01  4.932E-01     1.446E-01   1.446E+00
 406.00     407.00     8.995E-01  4.619E-01     1.361E-01   1.361E+00
 407.00     408.00     9.092E-01  4.631E-01     1.372E-01   1.372E+00
 408.00     409.00     1.015E+00  5.128E-01     1.528E-01   1.528E+00
 409.00     410.00     9.977E-01  4.999E-01     1.498E-01   1.498E+00
 410.00     411.00     8.674E-01  4.311E-01     1.298E-01   1.298E+00
 411.00     412.00     1.045E+00  5.153E-01     1.560E-01   1.560E+00
 412.00     413.00     1.038E+00  5.079E-01     1.546E-01   1.546E+00
 413.00     414.00     1.010E+00  4.899E-01     1.499E-01   1.499E+00
 414.00     415.00     1.040E+00  5.008E-01     1.541E-01   1.541E+00
 415.00     416.00     9.972E-01  4.763E-01     1.474E-01   1.474E+00
 416.00     417.00     1.088E+00  5.156E-01     1.603E-01   1.603E+00
 417.00     418.00     9.967E-01  4.688E-01     1.466E-01   1.466E+00
 418.00     419.00     1.007E+00  4.699E-01     1.477E-01   1.477E+00
 419.00     420.00     1.042E+00  4.828E-01     1.525E-01   1.525E+00
