 
 
 
 INPUT PARAMETERS:

 RADIATION SCHEME:             2  streams

 w-grid:          141    280.0000        420.0000    
 z-grid:           81    0.000000        80.00000    
  measurement point: index            1  altitude=    0.000000    
 idate =      20150630  esfact(1) =     1.000000    
 air temperature: USSA, 1976
 air concentrations: USSA, 1976
 ozone profile: USSA, 1976
 DATAE1/SUN/susim_hi.flx
 DATAE1/SUN/atlas3_1994_317_a.dat        
 DATAE1/SUN/neckel.flx                   
 DATAE1/SUN/sao2010.solref.converted     
 aerosols:  Elterman (1968) continental profile
 solar zenith angle =     0.000000    
 
 SPECTRAL IRRADIANCE (W m-2 nm-1):

 LOWER WVL  UPPER WVL  DIRECT     DIFFUSE DOWN  DIFFUSE UP  TOTAL DOWNWELLING
 280.00     281.00     1.758E-15  1.309E-15     3.067E-16   3.067E-15
 281.00     282.00     6.588E-14  5.137E-14     1.172E-14   1.172E-13
 282.00     283.00     1.012E-12  8.226E-13     1.835E-13   1.835E-12
 283.00     284.00     5.417E-12  4.507E-12     9.923E-13   9.923E-12
 284.00     285.00     6.906E-11  6.065E-11     1.297E-11   1.297E-10
 285.00     286.00     2.837E-10  2.599E-10     5.437E-11   5.437E-10
 286.00     287.00     3.793E-09  3.586E-09     7.379E-10   7.379E-09
 287.00     288.00     2.490E-08  2.446E-08     4.936E-09   4.936E-08
 288.00     289.00     1.441E-07  1.484E-07     2.925E-08   2.925E-07
 289.00     290.00     8.768E-07  9.342E-07     1.811E-07   1.811E-06
 290.00     291.00     3.828E-06  4.193E-06     8.021E-07   8.021E-06
 291.00     292.00     1.325E-05  1.504E-05     2.829E-06   2.829E-05
 292.00     293.00     3.422E-05  4.002E-05     7.424E-06   7.424E-05
 293.00     294.00     1.053E-04  1.269E-04     2.322E-05   2.322E-04
 294.00     295.00     2.103E-04  2.593E-04     4.696E-05   4.696E-04
 295.00     296.00     5.559E-04  7.044E-04     1.260E-04   1.260E-03
 296.00     297.00     1.012E-03  1.312E-03     2.324E-04   2.324E-03
 297.00     298.00     2.012E-03  2.663E-03     4.674E-04   4.674E-03
 298.00     299.00     2.475E-03  3.332E-03     5.807E-04   5.807E-03
 299.00     300.00     5.686E-03  7.777E-03     1.346E-03   1.346E-02
 300.00     301.00     5.461E-03  7.548E-03     1.301E-03   1.301E-02
 301.00     302.00     1.111E-02  1.558E-02     2.669E-03   2.669E-02
 302.00     303.00     1.412E-02  1.989E-02     3.401E-03   3.401E-02
 303.00     304.00     2.459E-02  3.499E-02     5.958E-03   5.958E-02
 304.00     305.00     2.734E-02  3.888E-02     6.623E-03   6.623E-02
 305.00     306.00     3.681E-02  5.280E-02     8.961E-03   8.961E-02
 306.00     307.00     3.898E-02  5.561E-02     9.459E-03   9.459E-02
 307.00     308.00     5.716E-02  8.206E-02     1.392E-02   1.392E-01
 308.00     309.00     6.478E-02  9.233E-02     1.571E-02   1.571E-01
 309.00     310.00     5.786E-02  8.248E-02     1.403E-02   1.403E-01
 310.00     311.00     7.973E-02  1.127E-01     1.924E-02   1.924E-01
 311.00     312.00     1.037E-01  1.462E-01     2.499E-02   2.499E-01
 312.00     313.00     1.023E-01  1.442E-01     2.465E-02   2.465E-01
 313.00     314.00     1.171E-01  1.632E-01     2.803E-02   2.803E-01
 314.00     315.00     1.181E-01  1.646E-01     2.827E-02   2.827E-01
 315.00     316.00     1.231E-01  1.693E-01     2.924E-02   2.924E-01
 316.00     317.00     1.236E-01  1.696E-01     2.932E-02   2.932E-01
 317.00     318.00     1.764E-01  2.382E-01     4.146E-02   4.146E-01
 318.00     319.00     1.398E-01  1.883E-01     3.281E-02   3.281E-01
 319.00     320.00     1.720E-01  2.287E-01     4.007E-02   4.007E-01
 320.00     321.00     2.110E-01  2.771E-01     4.881E-02   4.881E-01
 321.00     322.00     1.802E-01  2.363E-01     4.165E-02   4.165E-01
 322.00     323.00     1.834E-01  2.342E-01     4.177E-02   4.177E-01
 323.00     324.00     1.898E-01  2.428E-01     4.326E-02   4.326E-01
 324.00     325.00     2.246E-01  2.829E-01     5.075E-02   5.075E-01
 325.00     326.00     2.540E-01  3.143E-01     5.683E-02   5.683E-01
 326.00     327.00     3.086E-01  3.810E-01     6.896E-02   6.896E-01
 327.00     328.00     2.902E-01  3.514E-01     6.415E-02   6.415E-01
 328.00     329.00     2.700E-01  3.222E-01     5.922E-02   5.922E-01
 329.00     330.00     3.514E-01  4.172E-01     7.686E-02   7.686E-01
 330.00     331.00     3.225E-01  3.758E-01     6.982E-02   6.982E-01
 331.00     332.00     3.212E-01  3.685E-01     6.897E-02   6.897E-01
 332.00     333.00     3.176E-01  3.619E-01     6.795E-02   6.795E-01
 333.00     334.00     3.011E-01  3.371E-01     6.381E-02   6.381E-01
 334.00     335.00     3.385E-01  3.743E-01     7.128E-02   7.128E-01
 335.00     336.00     3.450E-01  3.775E-01     7.225E-02   7.225E-01
 336.00     337.00     2.717E-01  2.929E-01     5.646E-02   5.646E-01
 337.00     338.00     3.007E-01  3.188E-01     6.195E-02   6.195E-01
 338.00     339.00     3.189E-01  3.348E-01     6.538E-02   6.538E-01
 339.00     340.00     3.489E-01  3.616E-01     7.105E-02   7.105E-01
 340.00     341.00     3.757E-01  3.836E-01     7.593E-02   7.593E-01
 341.00     342.00     3.355E-01  3.387E-01     6.742E-02   6.742E-01
 342.00     343.00     3.739E-01  3.726E-01     7.466E-02   7.466E-01
 343.00     344.00     3.909E-01  3.843E-01     7.752E-02   7.752E-01
 344.00     345.00     2.758E-01  2.674E-01     5.431E-02   5.431E-01
 345.00     346.00     3.797E-01  3.641E-01     7.438E-02   7.438E-01
 346.00     347.00     3.575E-01  3.381E-01     6.956E-02   6.956E-01
 347.00     348.00     3.513E-01  3.281E-01     6.794E-02   6.794E-01
