"FILE:RGD1"
"REM: REFL GREEN AD 1 "
"LIMS: 350- 800NM"
"INT:  2NM"
"DATE:05/30 13:50"
"MIN:  358NM  4.628E-02"
"MAX:  776NM  4.693E-01"
 350  5.135E-02
 352  4.713E-02
 354  5.324E-02
 356  4.740E-02
 358  4.628E-02
 360  5.135E-02
 362  5.033E-02
 364  4.975E-02
 366  4.831E-02
 368  4.932E-02
 370  4.848E-02
 372  4.885E-02
 374  5.082E-02
 376  4.929E-02
 378  5.004E-02
 380  4.876E-02
 382  4.892E-02
 384  4.879E-02
 386  4.853E-02
 388  4.892E-02
 390  4.892E-02
 392  4.888E-02
 394  4.853E-02
 396  4.893E-02
 398  4.866E-02
 400  4.861E-02
 402  4.845E-02
 404  4.886E-02
 406  4.867E-02
 408  4.874E-02
 410  4.910E-02
 412  4.945E-02
 414  4.941E-02
 416  4.969E-02
 418  4.955E-02
 420  5.033E-02
 422  5.047E-02
 424  5.086E-02
 426  5.108E-02
 428  5.151E-02
 430  5.173E-02
 432  5.207E-02
 434  5.248E-02
 436  5.244E-02
 438  5.279E-02
 440  5.308E-02
 442  5.318E-02
 444  5.339E-02
 446  5.352E-02
 448  5.395E-02
 450  5.422E-02
 452  5.426E-02
 454  5.446E-02
 456  5.460E-02
 458  5.481E-02
 460  5.482E-02
 462  5.476E-02
 464  5.485E-02
 466  5.499E-02
 468  5.495E-02
 470  5.489E-02
 472  5.503E-02
 474  5.487E-02
 476  5.489E-02
 478  5.486E-02
 480  5.493E-02
 482  5.489E-02
 484  5.489E-02
 486  5.502E-02
 488  5.520E-02
 490  5.549E-02
 492  5.586E-02
 494  5.640E-02
 496  5.713E-02
 498  5.809E-02
 500  5.936E-02
 502  6.092E-02
 504  6.297E-02
 506  6.546E-02
 508  6.847E-02
 510  7.205E-02
 512  7.625E-02
 514  8.096E-02
 516  8.630E-02
 518  9.199E-02
 520  9.806E-02
 522  1.041E-01
 524  1.103E-01
 526  1.163E-01
 528  1.222E-01
 530  1.277E-01
 532  1.329E-01
 534  1.378E-01
 536  1.424E-01
 538  1.469E-01
 540  1.513E-01
 542  1.557E-01
 544  1.598E-01
 546  1.638E-01
 548  1.672E-01
 550  1.701E-01
 552  1.724E-01
 554  1.740E-01
 556  1.747E-01
 558  1.746E-01
 560  1.745E-01
 562  1.731E-01
 564  1.706E-01
 566  1.674E-01
 568  1.641E-01
 570  1.602E-01
 572  1.561E-01
 574  1.523E-01
 576  1.487E-01
 578  1.454E-01
 580  1.425E-01
 582  1.401E-01
 584  1.379E-01
 586  1.361E-01
 588  1.343E-01
 590  1.331E-01
 592  1.319E-01
 594  1.310E-01
 596  1.300E-01
 598  1.291E-01
 600  1.281E-01
 602  1.268E-01
 604  1.251E-01
 606  1.230E-01
 608  1.206E-01
 610  1.177E-01
 612  1.149E-01
 614  1.121E-01
 616  1.093E-01
 618  1.070E-01
 620  1.048E-01
 622  1.032E-01
 624  1.021E-01
 626  1.013E-01
 628  1.008E-01
 630  1.006E-01
 632  1.003E-01
 634  9.960E-02
 636  9.813E-02
 638  9.611E-02
 640  9.327E-02
 642  9.004E-02
 644  8.631E-02
 646  8.281E-02
 648  7.955E-02
 650  7.685E-02
 652  7.458E-02
 654  7.250E-02
 656  7.047E-02
 658  6.822E-02
 660  6.572E-02
 662  6.314E-02
 664  6.062E-02
 666  5.849E-02
 668  5.685E-02
 670  5.553E-02
 672  5.470E-02
 674  5.426E-02
 676  5.400E-02
 678  5.405E-02
 680  5.460E-02
 682  5.570E-02
 684  5.804E-02
 686  6.204E-02
 688  6.886E-02
 690  7.882E-02
 692  9.414E-02
 694  1.136E-01
 696  1.374E-01
 698  1.638E-01
 700  1.918E-01
 702  2.201E-01
 704  2.470E-01
 706  2.723E-01
 708  2.958E-01
 710  3.168E-01
 712  3.355E-01
 714  3.528E-01
 716  3.681E-01
 718  3.817E-01
 720  3.942E-01
 722  4.053E-01
 724  4.150E-01
 726  4.229E-01
 728  4.308E-01
 730  4.368E-01
 732  4.421E-01
 734  4.472E-01
 736  4.507E-01
 738  4.544E-01
 740  4.570E-01
 742  4.595E-01
 744  4.613E-01
 746  4.633E-01
 748  4.641E-01
 750  4.645E-01
 752  4.659E-01
 754  4.666E-01
 756  4.673E-01
 758  4.676E-01
 760  4.680E-01
 762  4.682E-01
 764  4.684E-01
 766  4.685E-01
 768  4.686E-01
 770  4.685E-01
 772  4.687E-01
 774  4.681E-01
 776  4.693E-01
 778  4.692E-01
 780  4.690E-01
 782  4.687E-01
 784  4.691E-01
 786  4.686E-01
 788  4.690E-01
 790  4.688E-01
 792  4.684E-01
 794  4.686E-01
 796  4.686E-01
 798  4.686E-01
 800  4.684E-01
