ENLIGHTEN Version,2.2.7
Measurement ID,20211004-005100-188305-WP-00591
Serial Number,WP-00591
Model,WP-UV-VIS-C-S-25
Label,00:51:00 WP-00591
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Transmission
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,25
Timestamp,2021-10-04 00:51:00.188305
Note,Dark substracted
Temperature,-14.702589910057213
CCD C0,247.9385986328125
CCD C1,0.5131465792655945
CCD C2,-0.00012270470324438065
CCD C3,7.728250039917839e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,0.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Processed,Raw,Dark,Reference
326,404.68,6.44258,873.00000,827.00000,714.00000
327,405.14,5.82278,869.00000,823.00000,790.00000
328,405.59,5.56793,873.00000,823.00000,898.00000
329,406.05,3.96246,869.00000,831.00000,959.00000
330,406.50,4.47344,875.00000,827.00000,1073.00000
331,406.96,4.15959,871.00000,822.00000,1178.00000
332,407.41,3.51145,871.00000,825.00000,1310.00000
333,407.87,3.20111,877.00000,831.00000,1437.00000
334,408.32,3.30630,878.00000,825.00000,1603.00000
335,408.78,2.73038,875.00000,827.00000,1758.00000
336,409.23,1.73381,861.00000,827.00000,1961.00000
337,409.68,2.23949,871.00000,822.00000,2188.00000
338,410.14,1.67224,873.00000,833.00000,2392.00000
339,410.59,1.58730,875.00000,833.00000,2646.00000
340,411.05,1.43101,875.00000,833.00000,2935.00000
341,411.50,1.22436,873.00000,833.00000,3267.00000
342,411.95,1.37817,873.00000,823.00000,3628.00000
343,412.41,1.24938,873.00000,823.00000,4002.00000
344,412.86,1.19612,873.00000,820.00000,4431.00000
345,413.32,1.08785,878.00000,825.00000,4872.00000
346,413.77,0.98715,880.00000,827.00000,5369.00000
347,414.22,0.49370,858.00000,829.00000,5874.00000
348,414.68,0.80934,875.00000,823.00000,6425.00000
349,415.13,0.54543,869.00000,831.00000,6967.00000
350,415.58,0.58324,875.00000,831.00000,7544.00000
351,416.03,0.77510,886.00000,823.00000,8128.00000
352,416.49,0.50604,873.00000,829.00000,8695.00000
353,416.94,0.53926,873.00000,823.00000,9272.00000
354,417.39,0.50756,875.00000,825.00000,9851.00000
355,417.84,0.42365,875.00000,831.00000,10386.00000
356,418.30,0.40534,877.00000,833.00000,10855.00000
357,418.75,0.35464,873.00000,833.00000,11279.00000
358,419.20,0.24001,859.00000,831.00000,11666.00000
359,419.65,0.46764,878.00000,822.00000,11975.00000
360,420.11,0.41779,878.00000,827.00000,12207.00000
361,420.56,0.44686,880.00000,825.00000,12308.00000
362,421.01,0.29039,871.00000,835.00000,12397.00000
363,421.46,0.28930,865.00000,829.00000,12444.00000
364,421.91,0.44448,877.00000,822.00000,12374.00000
365,422.36,0.39805,878.00000,829.00000,12310.00000
366,422.81,0.37932,873.00000,827.00000,12127.00000
367,423.27,0.33498,869.00000,829.00000,11941.00000
368,423.72,0.39519,873.00000,827.00000,11640.00000
369,424.17,0.43879,875.00000,825.00000,11395.00000
370,424.62,0.38798,863.00000,820.00000,11083.00000
371,425.07,0.36863,871.00000,831.00000,10851.00000
372,425.52,0.41462,875.00000,831.00000,10612.00000
373,425.97,0.36662,871.00000,833.00000,10365.00000
374,426.42,0.47586,875.00000,827.00000,10087.00000
375,426.87,0.40294,865.00000,825.00000,9927.00000
376,427.32,0.54148,882.00000,829.00000,9788.00000
377,427.77,0.49741,877.00000,829.00000,9650.00000
378,428.22,0.53431,873.00000,822.00000,9545.00000
379,428.67,0.58269,873.00000,818.00000,9439.00000
380,429.12,0.58610,875.00000,820.00000,9384.00000
381,429.57,0.52228,878.00000,829.00000,9382.00000
382,430.02,0.45031,875.00000,833.00000,9327.00000
383,430.47,0.63736,888.00000,829.00000,9257.00000
384,430.92,0.51864,875.00000,827.00000,9255.00000
385,431.37,0.54389,873.00000,823.00000,9193.00000
386,431.82,0.52066,875.00000,827.00000,9219.00000
387,432.27,0.47707,873.00000,829.00000,9223.00000
388,432.72,0.48352,867.00000,823.00000,9100.00000
389,433.17,0.44043,875.00000,835.00000,9082.00000
390,433.62,0.52939,871.00000,823.00000,9067.00000
391,434.06,0.57490,875.00000,823.00000,9045.00000
392,434.51,0.46574,869.00000,827.00000,9018.00000
393,434.96,0.52263,878.00000,831.00000,8993.00000
394,435.41,0.49031,875.00000,831.00000,8974.00000
395,435.86,0.48916,873.00000,829.00000,8995.00000
396,436.31,0.51162,875.00000,829.00000,8991.00000
397,436.76,0.48357,871.00000,827.00000,9099.00000
398,437.20,0.56285,882.00000,831.00000,9061.00000
399,437.65,0.53977,869.00000,820.00000,9078.00000
400,438.10,0.55381,884.00000,833.00000,9209.00000
401,438.55,0.56953,878.00000,825.00000,9306.00000
402,439.00,0.46615,869.00000,825.00000,9439.00000
403,439.44,0.41841,875.00000,835.00000,9560.00000
404,439.89,0.50651,882.00000,833.00000,9674.00000
405,440.34,0.49868,878.00000,829.00000,9826.00000
406,440.79,0.37837,867.00000,829.00000,10043.00000
407,441.23,0.52196,873.00000,820.00000,10154.00000
408,441.68,0.53191,877.00000,822.00000,10340.00000
409,442.13,0.43610,873.00000,827.00000,10548.00000
410,442.58,0.42795,873.00000,827.00000,10749.00000
411,443.02,0.48077,871.00000,818.00000,11024.00000
412,443.47,0.40096,867.00000,822.00000,11223.00000
413,443.92,0.51900,882.00000,823.00000,11368.00000
414,444.36,0.42384,882.00000,833.00000,11561.00000
415,444.81,0.43140,882.00000,831.00000,11822.00000
416,445.26,0.44082,878.00000,825.00000,12023.00000
417,445.70,0.39222,871.00000,823.00000,12238.00000
418,446.15,0.36918,871.00000,825.00000,12460.00000
419,446.60,0.37020,884.00000,837.00000,12696.00000
420,447.04,0.38097,878.00000,829.00000,12862.00000
421,447.49,0.33755,873.00000,829.00000,13035.00000
422,447.93,0.46055,873.00000,812.00000,13245.00000
423,448.38,0.35773,873.00000,825.00000,13418.00000
424,448.83,0.32284,873.00000,829.00000,13629.00000
425,449.27,0.36989,880.00000,829.00000,13788.00000
426,449.72,0.33065,875.00000,829.00000,13912.00000
427,450.16,0.35476,877.00000,827.00000,14094.00000
428,450.61,0.38572,877.00000,822.00000,14259.00000
429,451.05,0.38115,878.00000,823.00000,14430.00000
430,451.50,0.29639,878.00000,835.00000,14508.00000
431,451.95,0.37212,882.00000,827.00000,14780.00000
432,452.39,0.40931,884.00000,823.00000,14903.00000
433,452.84,0.38199,880.00000,823.00000,14922.00000
434,453.28,0.26543,871.00000,831.00000,15070.00000
435,453.73,0.29723,878.00000,833.00000,15140.00000
436,454.17,0.29566,878.00000,833.00000,15220.00000
437,454.62,0.27397,873.00000,831.00000,15330.00000
438,455.06,0.32260,873.00000,823.00000,15499.00000
439,455.51,0.35254,871.00000,816.00000,15601.00000
440,455.95,0.29936,878.00000,831.00000,15700.00000
441,456.39,0.33559,875.00000,822.00000,15793.00000
442,456.84,0.32254,878.00000,827.00000,15812.00000
443,457.28,0.26467,875.00000,833.00000,15869.00000
444,457.73,0.30675,878.00000,829.00000,15974.00000
445,458.17,0.31981,878.00000,827.00000,15947.00000
446,458.62,0.33094,880.00000,827.00000,16015.00000
447,459.06,0.37985,886.00000,825.00000,16059.00000
448,459.50,0.29929,877.00000,829.00000,16038.00000
449,459.95,0.26157,869.00000,827.00000,16057.00000
450,460.39,0.36603,875.00000,816.00000,16119.00000
451,460.84,0.24240,880.00000,841.00000,16089.00000
452,461.28,0.39036,888.00000,825.00000,16139.00000
453,461.72,0.27380,873.00000,829.00000,16070.00000
454,462.17,0.28451,869.00000,823.00000,16168.00000
455,462.61,0.35421,880.00000,823.00000,16092.00000
456,463.05,0.27457,871.00000,827.00000,16025.00000
457,463.50,0.26263,873.00000,831.00000,15992.00000
458,463.94,0.30577,880.00000,831.00000,16025.00000
459,464.38,0.22497,869.00000,833.00000,16002.00000
460,464.83,0.32035,880.00000,829.00000,15920.00000
461,465.27,0.38370,886.00000,825.00000,15898.00000
462,465.71,0.37072,888.00000,829.00000,15915.00000
463,466.16,0.35901,886.00000,829.00000,15877.00000
464,466.60,0.27794,875.00000,831.00000,15831.00000
465,467.04,0.36126,882.00000,825.00000,15778.00000
466,467.48,0.31176,880.00000,831.00000,15717.00000
467,467.93,0.35626,878.00000,822.00000,15719.00000
468,468.37,0.43340,890.00000,822.00000,15690.00000
469,468.81,0.32094,877.00000,827.00000,15579.00000
470,469.25,0.28396,871.00000,827.00000,15495.00000
471,469.70,0.37446,878.00000,820.00000,15489.00000
472,470.14,0.35654,877.00000,822.00000,15426.00000
473,470.58,0.28084,880.00000,837.00000,15311.00000
474,471.02,0.38519,884.00000,825.00000,15317.00000
475,471.46,0.31416,873.00000,825.00000,15279.00000
476,471.91,0.30213,877.00000,831.00000,15225.00000
477,472.35,0.38911,884.00000,825.00000,15163.00000
478,472.79,0.40285,888.00000,827.00000,15142.00000
479,473.23,0.41952,890.00000,827.00000,15017.00000
480,473.67,0.36664,877.00000,822.00000,15001.00000
481,474.12,0.31506,880.00000,833.00000,14918.00000
482,474.56,0.43683,892.00000,827.00000,14880.00000
483,475.00,0.52681,890.00000,812.00000,14806.00000
484,475.44,0.40071,888.00000,829.00000,14724.00000
485,475.88,0.38636,888.00000,831.00000,14753.00000
486,476.32,0.28667,867.00000,825.00000,14651.00000
487,476.76,0.37494,886.00000,831.00000,14669.00000
488,477.21,0.42411,884.00000,822.00000,14619.00000
489,477.65,0.50842,894.00000,820.00000,14555.00000
490,478.09,0.40650,886.00000,827.00000,14514.00000
491,478.53,0.43653,892.00000,829.00000,14432.00000
492,478.97,0.37277,877.00000,823.00000,14486.00000
493,479.41,0.39630,886.00000,829.00000,14383.00000
494,479.85,0.41725,880.00000,820.00000,14380.00000
495,480.29,0.44007,888.00000,825.00000,14316.00000
496,480.73,0.51843,894.00000,820.00000,14274.00000
497,481.17,0.40113,886.00000,829.00000,14210.00000
498,481.61,0.41637,888.00000,829.00000,14170.00000
