ENLIGHTEN Version,2.2.7
Measurement ID,20211004-005100-188305-WP-00591
Serial Number,WP-00591
Model,WP-UV-VIS-C-S-25
Label,00:51:00 WP-00591
Declared Match,
Declared Score,0
Scan Averaging,1
Boxcar,0
Technique,Transmission
Baseline Correction Algo,
ROI Pixel Start,0
ROI Pixel End,1023
Slit Width,25
Vignetted,False
Interpolated,False
Raman Intensity Corrected,False
Deconvolved,False
Integration Time,25
Timestamp,2021-10-04 00:51:00.188305
Note,Dark substracted
Temperature,-14.702589910057213
CCD C0,247.9385986328125
CCD C1,0.5131465792655945
CCD C2,-0.00012270470324438065
CCD C3,7.728250039917839e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,0.0
Laser Enable,False
Laser Power,100
Laser Temperature,0
Pixel Count,1024

Pixel,Wavelength,Processed,Raw,Dark,Reference
0,247.94,24.00000,835.00000,823.00000,50.00000
1,248.45,54.00000,850.00000,823.00000,50.00000
2,248.96,76.08696,858.00000,823.00000,46.00000
3,249.48,73.68421,859.00000,831.00000,38.00000
4,249.99,113.33333,863.00000,829.00000,30.00000
5,250.50,50.98039,848.00000,822.00000,51.00000
6,251.01,78.04878,854.00000,822.00000,41.00000
7,251.52,105.26316,865.00000,825.00000,38.00000
8,252.04,75.00000,856.00000,823.00000,44.00000
9,252.55,93.75000,861.00000,831.00000,32.00000
10,253.06,63.82979,852.00000,822.00000,47.00000
11,253.57,48.07692,848.00000,823.00000,52.00000
12,254.08,72.50000,856.00000,827.00000,40.00000
13,254.59,38.18182,846.00000,825.00000,55.00000
14,255.10,82.50000,858.00000,825.00000,40.00000
15,255.61,88.88889,859.00000,827.00000,36.00000
16,256.12,44.11765,846.00000,831.00000,34.00000
17,256.63,87.75510,861.00000,818.00000,49.00000
18,257.14,60.00000,856.00000,820.00000,60.00000
19,257.64,72.72727,859.00000,827.00000,44.00000
20,258.15,95.12195,861.00000,822.00000,41.00000
21,258.66,45.65217,848.00000,827.00000,46.00000
22,259.17,76.31579,856.00000,827.00000,38.00000
23,259.68,70.83333,861.00000,827.00000,48.00000
24,260.18,62.50000,856.00000,816.00000,64.00000
25,260.69,112.50000,865.00000,829.00000,32.00000
26,261.20,79.59184,861.00000,822.00000,49.00000
27,261.71,36.84211,841.00000,827.00000,38.00000
28,262.21,73.80952,856.00000,825.00000,42.00000
29,262.72,64.28571,856.00000,829.00000,42.00000
30,263.22,78.72340,859.00000,822.00000,47.00000
31,263.73,50.00000,854.00000,833.00000,42.00000
32,264.24,46.87500,850.00000,835.00000,32.00000
33,264.74,80.00000,869.00000,833.00000,45.00000
34,265.25,63.04348,858.00000,829.00000,46.00000
35,265.75,57.89474,858.00000,825.00000,57.00000
36,266.26,73.68421,859.00000,831.00000,38.00000
37,266.76,41.66667,842.00000,827.00000,36.00000
38,267.27,52.08333,852.00000,827.00000,48.00000
39,267.77,73.46939,865.00000,829.00000,49.00000
40,268.27,72.34043,856.00000,822.00000,47.00000
41,268.78,52.27273,854.00000,831.00000,44.00000
42,269.28,60.00000,859.00000,835.00000,40.00000
43,269.78,54.00000,852.00000,825.00000,50.00000
44,270.29,68.42105,859.00000,820.00000,57.00000
45,270.79,54.71698,854.00000,825.00000,53.00000
46,271.29,69.09091,863.00000,825.00000,55.00000
47,271.79,59.18367,858.00000,829.00000,49.00000
48,272.30,50.00000,848.00000,827.00000,42.00000
49,272.80,66.66667,859.00000,831.00000,42.00000
50,273.30,81.81818,861.00000,825.00000,44.00000
51,273.80,69.09091,861.00000,823.00000,55.00000
52,274.30,60.31746,865.00000,827.00000,63.00000
53,274.80,51.21951,858.00000,837.00000,41.00000
54,275.30,73.68421,867.00000,825.00000,57.00000
55,275.80,66.21622,863.00000,814.00000,74.00000
56,276.30,72.88136,861.00000,818.00000,59.00000
57,276.80,78.26087,861.00000,825.00000,46.00000
58,277.30,66.66667,863.00000,825.00000,57.00000
59,277.80,60.78431,858.00000,827.00000,51.00000
60,278.30,63.15789,856.00000,820.00000,57.00000
61,278.80,66.66667,861.00000,827.00000,51.00000
62,279.30,86.27451,873.00000,829.00000,51.00000
63,279.80,69.56522,863.00000,831.00000,46.00000
64,280.30,69.76744,869.00000,839.00000,43.00000
65,280.80,77.35849,863.00000,822.00000,53.00000
66,281.29,54.71698,858.00000,829.00000,53.00000
67,281.79,67.92453,865.00000,829.00000,53.00000
68,282.29,61.01695,863.00000,827.00000,59.00000
69,282.79,74.24242,871.00000,822.00000,66.00000
70,283.28,76.27119,863.00000,818.00000,59.00000
71,283.78,67.30769,858.00000,823.00000,52.00000
72,284.28,64.28571,858.00000,822.00000,56.00000
73,284.77,70.17544,865.00000,825.00000,57.00000
74,285.27,56.86275,858.00000,829.00000,51.00000
75,285.77,56.36364,858.00000,827.00000,55.00000
76,286.26,60.00000,856.00000,814.00000,70.00000
77,286.76,73.07692,863.00000,825.00000,52.00000
78,287.25,63.82979,863.00000,833.00000,47.00000
79,287.75,58.18182,863.00000,831.00000,55.00000
80,288.24,59.70149,867.00000,827.00000,67.00000
81,288.74,54.23729,863.00000,831.00000,59.00000
82,289.23,57.14286,861.00000,833.00000,49.00000
83,289.73,80.00000,869.00000,825.00000,55.00000
84,290.22,80.00000,871.00000,827.00000,55.00000
85,290.72,63.15789,861.00000,837.00000,38.00000
86,291.21,63.49206,869.00000,829.00000,63.00000
87,291.70,63.51351,861.00000,814.00000,74.00000
88,292.20,80.35714,867.00000,822.00000,56.00000
89,292.69,80.70175,869.00000,823.00000,57.00000
90,293.18,66.66667,867.00000,833.00000,51.00000
91,293.68,53.19149,858.00000,833.00000,47.00000
92,294.17,58.75000,861.00000,814.00000,80.00000
93,294.66,60.37736,863.00000,831.00000,53.00000
94,295.15,82.60870,867.00000,829.00000,46.00000
95,295.65,64.40678,867.00000,829.00000,59.00000
96,296.14,45.61404,859.00000,833.00000,57.00000
97,296.63,75.40984,871.00000,825.00000,61.00000
98,297.12,59.03614,867.00000,818.00000,83.00000
99,297.61,61.53846,865.00000,825.00000,65.00000
100,298.10,67.69231,869.00000,825.00000,65.00000
101,298.59,73.46939,871.00000,835.00000,49.00000
102,299.08,57.97101,867.00000,827.00000,69.00000
103,299.57,63.76812,867.00000,823.00000,69.00000
104,300.06,58.33333,871.00000,829.00000,72.00000
105,300.55,72.36842,875.00000,820.00000,76.00000
106,301.04,64.40678,869.00000,831.00000,59.00000
107,301.53,46.03175,856.00000,827.00000,63.00000
108,302.02,70.51282,873.00000,818.00000,78.00000
109,302.51,45.71429,861.00000,829.00000,70.00000
110,303.00,62.68657,867.00000,825.00000,67.00000
111,303.49,65.57377,867.00000,827.00000,61.00000
112,303.98,45.61404,859.00000,833.00000,57.00000
113,304.47,57.89474,869.00000,825.00000,76.00000
114,304.95,67.94872,867.00000,814.00000,78.00000
115,305.44,48.57143,863.00000,829.00000,70.00000
116,305.93,56.75676,867.00000,825.00000,74.00000
117,306.42,57.14286,863.00000,827.00000,63.00000
118,306.91,72.46377,875.00000,825.00000,69.00000
119,307.39,68.83117,873.00000,820.00000,77.00000
120,307.88,63.88889,871.00000,825.00000,72.00000
121,308.37,63.95349,880.00000,825.00000,86.00000
122,308.85,55.73770,869.00000,835.00000,61.00000
123,309.34,41.66667,859.00000,829.00000,72.00000
124,309.83,66.66667,873.00000,825.00000,72.00000
125,310.31,46.87500,863.00000,833.00000,64.00000
126,310.80,50.00000,871.00000,839.00000,64.00000
127,311.28,56.62651,869.00000,822.00000,83.00000
128,311.77,60.31746,871.00000,833.00000,63.00000
129,312.25,63.88889,873.00000,827.00000,72.00000
130,312.74,75.30864,877.00000,816.00000,81.00000
131,313.22,59.01639,871.00000,835.00000,61.00000
132,313.71,62.16216,875.00000,829.00000,74.00000
133,314.19,60.52632,869.00000,823.00000,76.00000
134,314.68,65.43210,873.00000,820.00000,81.00000
135,315.16,62.35294,871.00000,818.00000,85.00000
136,315.65,57.89474,873.00000,829.00000,76.00000
137,316.13,55.26316,875.00000,833.00000,76.00000
138,316.61,58.97436,873.00000,827.00000,78.00000
139,317.10,52.30769,865.00000,831.00000,65.00000
140,317.58,51.28205,867.00000,827.00000,78.00000
141,318.06,64.10256,875.00000,825.00000,78.00000
142,318.55,47.50000,869.00000,831.00000,80.00000
143,319.03,62.16216,873.00000,827.00000,74.00000
144,319.51,43.67816,867.00000,829.00000,87.00000
145,319.99,68.42105,877.00000,825.00000,76.00000
146,320.48,59.55056,875.00000,822.00000,89.00000
147,320.96,60.71429,878.00000,827.00000,84.00000
148,321.44,62.96296,873.00000,822.00000,81.00000
149,321.92,60.46512,875.00000,823.00000,86.00000
150,322.40,48.71795,861.00000,823.00000,78.00000
151,322.88,63.63636,869.00000,820.00000,77.00000
152,323.36,60.46512,875.00000,823.00000,86.00000
153,323.85,57.89474,871.00000,827.00000,76.00000
154,324.33,56.09756,869.00000,823.00000,82.00000
155,324.81,60.97561,877.00000,827.00000,82.00000
156,325.29,59.70149,865.00000,825.00000,67.00000
157,325.77,52.94118,869.00000,833.00000,68.00000
158,326.25,70.83333,880.00000,829.00000,72.00000
159,326.73,55.78947,873.00000,820.00000,95.00000
160,327.21,51.28205,873.00000,833.00000,78.00000
161,327.69,47.36842,863.00000,827.00000,76.00000
162,328.17,54.76190,871.00000,825.00000,84.00000
163,328.64,55.26316,873.00000,831.00000,76.00000
164,329.12,50.00000,869.00000,827.00000,84.00000
165,329.60,55.05618,880.00000,831.00000,89.00000
166,330.08,53.65854,875.00000,831.00000,82.00000
167,330.56,52.56410,859.00000,818.00000,78.00000
168,331.04,53.48837,871.00000,825.00000,86.00000
169,331.52,52.50000,873.00000,831.00000,80.00000
170,331.99,58.13953,877.00000,827.00000,86.00000
171,332.47,59.45946,877.00000,833.00000,74.00000
172,332.95,65.33333,871.00000,822.00000,75.00000
173,333.43,54.08163,875.00000,822.00000,98.00000
174,333.90,45.00000,869.00000,833.00000,80.00000
175,334.38,51.21951,873.00000,831.00000,82.00000
176,334.86,44.21053,869.00000,827.00000,95.00000
177,335.33,64.10256,877.00000,827.00000,78.00000
178,335.81,48.95833,867.00000,820.00000,96.00000
179,336.29,44.21053,867.00000,825.00000,95.00000
180,336.76,51.68539,875.00000,829.00000,89.00000
181,337.24,51.04167,871.00000,822.00000,96.00000
182,337.72,42.35294,867.00000,831.00000,85.00000
183,338.19,45.45455,865.00000,825.00000,88.00000
184,338.67,45.00000,861.00000,825.00000,80.00000
185,339.14,49.41176,873.00000,831.00000,85.00000
186,339.62,55.00000,873.00000,829.00000,80.00000
187,340.09,42.10526,869.00000,837.00000,76.00000
188,340.57,46.60194,871.00000,823.00000,103.00000
189,341.04,53.33333,873.00000,825.00000,90.00000
190,341.52,53.33333,873.00000,825.00000,90.00000
191,341.99,56.73077,877.00000,818.00000,104.00000
192,342.46,46.15385,871.00000,829.00000,91.00000
193,342.94,60.71429,878.00000,827.00000,84.00000
194,343.41,45.91837,867.00000,822.00000,98.00000
195,343.89,39.00000,861.00000,822.00000,100.00000
196,344.36,40.47619,863.00000,829.00000,84.00000
197,344.83,48.35165,875.00000,831.00000,91.00000
198,345.31,31.57895,863.00000,839.00000,76.00000
199,345.78,40.19608,861.00000,820.00000,102.00000
200,346.25,37.03704,869.00000,839.00000,81.00000
201,346.73,52.50000,875.00000,833.00000,80.00000
202,347.20,53.33333,873.00000,825.00000,90.00000
203,347.67,52.47525,880.00000,827.00000,101.00000
204,348.14,57.57576,880.00000,823.00000,99.00000
205,348.61,45.71429,873.00000,825.00000,105.00000
206,349.09,41.75824,871.00000,833.00000,91.00000
207,349.56,55.00000,877.00000,833.00000,80.00000
208,350.03,42.20183,871.00000,825.00000,109.00000
209,350.50,57.14286,877.00000,825.00000,91.00000
210,350.97,48.18182,871.00000,818.00000,110.00000
211,351.44,38.83495,863.00000,823.00000,103.00000
212,351.91,45.23810,869.00000,831.00000,84.00000
213,352.39,31.68317,861.00000,829.00000,101.00000
214,352.86,37.89474,869.00000,833.00000,95.00000
215,353.33,42.20183,869.00000,823.00000,109.00000
216,353.80,36.19048,867.00000,829.00000,105.00000
217,354.27,39.25234,869.00000,827.00000,107.00000
218,354.74,42.35294,873.00000,837.00000,85.00000
219,355.21,38.09524,865.00000,825.00000,105.00000
220,355.68,45.61404,877.00000,825.00000,114.00000
221,356.15,42.72727,869.00000,822.00000,110.00000
222,356.62,39.25234,869.00000,827.00000,107.00000
223,357.09,47.61905,873.00000,823.00000,105.00000
224,357.55,40.00000,865.00000,827.00000,95.00000
225,358.02,41.90476,869.00000,825.00000,105.00000
226,358.49,41.17647,867.00000,818.00000,119.00000
227,358.96,39.17526,867.00000,829.00000,97.00000
228,359.43,28.86598,863.00000,835.00000,97.00000
229,359.90,35.16484,865.00000,833.00000,91.00000
230,360.37,51.72414,878.00000,833.00000,87.00000
231,360.83,36.84211,865.00000,823.00000,114.00000
232,361.30,39.25234,867.00000,825.00000,107.00000
233,361.77,35.41667,873.00000,839.00000,96.00000
234,362.24,44.85981,875.00000,827.00000,107.00000
235,362.71,40.86022,871.00000,833.00000,93.00000
236,363.17,38.59649,869.00000,825.00000,114.00000
237,363.64,41.12150,869.00000,825.00000,107.00000
238,364.11,30.90909,861.00000,827.00000,110.00000
239,364.57,42.59259,875.00000,829.00000,108.00000
240,365.04,37.62376,865.00000,827.00000,101.00000
241,365.51,36.00000,873.00000,837.00000,100.00000
242,365.97,32.72727,865.00000,829.00000,110.00000
243,366.44,29.31034,859.00000,825.00000,116.00000
244,366.91,42.22222,873.00000,816.00000,135.00000
245,367.37,38.46154,873.00000,833.00000,104.00000
246,367.84,37.28814,867.00000,823.00000,118.00000
247,368.30,28.30189,869.00000,839.00000,106.00000
248,368.77,35.59322,871.00000,829.00000,118.00000
249,369.24,40.80000,867.00000,816.00000,125.00000
250,369.70,42.71845,875.00000,831.00000,103.00000
251,370.17,47.36842,880.00000,835.00000,95.00000
252,370.63,40.35088,877.00000,831.00000,114.00000
253,371.10,38.59649,873.00000,829.00000,114.00000
254,371.56,45.86466,875.00000,814.00000,133.00000
255,372.03,25.80645,861.00000,829.00000,124.00000
256,372.49,35.59322,867.00000,825.00000,118.00000
257,372.95,32.80000,863.00000,822.00000,125.00000
258,373.42,40.35088,875.00000,829.00000,114.00000
259,373.88,38.70968,873.00000,825.00000,124.00000
260,374.35,36.50794,869.00000,823.00000,126.00000
261,374.81,36.50794,873.00000,827.00000,126.00000
262,375.27,38.98305,877.00000,831.00000,118.00000
263,375.74,33.33333,869.00000,831.00000,114.00000
264,376.20,37.59398,875.00000,825.00000,133.00000
265,376.66,35.50725,869.00000,820.00000,138.00000
266,377.13,35.48387,867.00000,823.00000,124.00000
267,377.59,26.78571,861.00000,831.00000,112.00000
268,378.05,33.33333,867.00000,827.00000,120.00000
269,378.52,38.70968,873.00000,825.00000,124.00000
270,378.98,32.59259,869.00000,825.00000,135.00000
271,379.44,28.81356,865.00000,831.00000,118.00000
272,379.90,31.00775,875.00000,835.00000,129.00000
273,380.37,30.89431,871.00000,833.00000,123.00000
274,380.83,34.10853,871.00000,827.00000,129.00000
275,381.29,34.64567,873.00000,829.00000,127.00000
276,381.75,32.06107,871.00000,829.00000,131.00000
277,382.21,34.64567,877.00000,833.00000,127.00000
278,382.67,26.77165,867.00000,833.00000,127.00000
279,383.14,44.27481,880.00000,822.00000,131.00000
280,383.60,36.87943,875.00000,823.00000,141.00000
281,384.06,40.71429,875.00000,818.00000,140.00000
282,384.52,35.50725,871.00000,822.00000,138.00000
283,384.98,35.11450,869.00000,823.00000,131.00000
284,385.44,31.11111,875.00000,833.00000,135.00000
285,385.90,39.85507,877.00000,822.00000,138.00000
286,386.36,36.49635,875.00000,825.00000,137.00000
287,386.82,29.62963,867.00000,827.00000,135.00000
288,387.28,26.66667,871.00000,835.00000,135.00000
289,387.74,28.36879,863.00000,823.00000,141.00000
290,388.20,33.33333,878.00000,837.00000,123.00000
291,388.66,33.57664,875.00000,829.00000,137.00000
292,389.12,41.00719,882.00000,825.00000,139.00000
293,389.58,35.13514,877.00000,825.00000,148.00000
294,390.04,32.16783,869.00000,823.00000,143.00000
295,390.50,32.89474,875.00000,825.00000,152.00000
296,390.96,32.62411,873.00000,827.00000,141.00000
297,391.42,25.67568,873.00000,835.00000,148.00000
298,391.88,24.00000,863.00000,827.00000,150.00000
299,392.34,29.87013,871.00000,825.00000,154.00000
300,392.80,24.35897,867.00000,829.00000,156.00000
301,393.25,27.84810,873.00000,829.00000,158.00000
302,393.71,28.76712,875.00000,833.00000,146.00000
303,394.17,25.73099,871.00000,827.00000,171.00000
304,394.63,22.59887,863.00000,823.00000,177.00000
305,395.09,28.72928,877.00000,825.00000,181.00000
306,395.55,29.05028,875.00000,823.00000,179.00000
307,396.00,28.17680,878.00000,827.00000,181.00000
308,396.46,26.42487,871.00000,820.00000,193.00000
309,396.92,23.67150,867.00000,818.00000,207.00000
310,397.38,21.67488,875.00000,831.00000,203.00000
311,397.83,16.91542,871.00000,837.00000,201.00000
312,398.29,21.66667,877.00000,825.00000,240.00000
313,398.75,13.63636,867.00000,837.00000,220.00000
314,399.21,20.38462,871.00000,818.00000,260.00000
315,399.66,17.32852,873.00000,825.00000,277.00000
316,400.12,13.81579,867.00000,825.00000,304.00000
317,400.58,12.77955,869.00000,829.00000,313.00000
318,401.03,10.84337,875.00000,839.00000,332.00000
319,401.49,12.23404,871.00000,825.00000,376.00000
320,401.94,12.77108,873.00000,820.00000,415.00000
321,402.40,10.73826,871.00000,823.00000,447.00000
322,402.86,12.67894,884.00000,822.00000,489.00000
323,403.31,7.33591,869.00000,831.00000,518.00000
324,403.77,9.36968,884.00000,829.00000,587.00000
325,404.22,9.70724,877.00000,814.00000,649.00000
