"TOA5","CR6Series","CR6","1449","CR6.Std.01","CPU:Tower2016.CR6","46551","TableHour"
"TIMESTAMP","RECORD","PAR_Den_Hst(1)","PAR_Den_Hst(2)","PAR_Den_Hst(3)","PAR_Den_Hst(4)","PAR_Den_Hst(5)","PAR_Den_Hst(6)","PAR_Den_Hst(7)","PAR_Den_Hst(8)","PAR_Den_Hst(9)","PAR_Den_Hst(10)","PAR_Den_Hst(11)","PAR_Den_Hst(12)","PAR_Den_Hst(13)","PAR_Den_Hst(14)","PAR_Den_Hst(15)","PAR_Den_Hst(16)","PAR_Den_Hst(17)","PAR_Den_Hst(18)","PAR_Den_Hst(19)","PAR_Den_Hst(20)","PAR_Den_Hst(21)","PAR_Den_Hst(22)","PAR_Den_Hst(23)","PAR_Den_Hst(24)","PAR_Den_Hst(25)","PAR_BF_tot_Hst(1)","PAR_BF_tot_Hst(2)","PAR_BF_tot_Hst(3)","PAR_BF_tot_Hst(4)","PAR_BF_tot_Hst(5)","PAR_BF_tot_Hst(6)","PAR_BF_tot_Hst(7)","PAR_BF_tot_Hst(8)","PAR_BF_tot_Hst(9)","PAR_BF_tot_Hst(10)","PAR_BF_tot_Hst(11)","PAR_BF_tot_Hst(12)","PAR_BF_tot_Hst(13)","PAR_BF_tot_Hst(14)","PAR_BF_tot_Hst(15)","PAR_BF_tot_Hst(16)","PAR_BF_tot_Hst(17)","PAR_BF_tot_Hst(18)","PAR_BF_tot_Hst(19)","PAR_BF_tot_Hst(20)","PAR_BF_tot_Hst(21)","PAR_BF_tot_Hst(22)","PAR_BF_tot_Hst(23)","PAR_BF_tot_Hst(24)","PAR_BF_tot_Hst(25)","PAR_BF_diff_Hst(1)","PAR_BF_diff_Hst(2)","PAR_BF_diff_Hst(3)","PAR_BF_diff_Hst(4)","PAR_BF_diff_Hst(5)","PAR_BF_diff_Hst(6)","PAR_BF_diff_Hst(7)","PAR_BF_diff_Hst(8)","PAR_BF_diff_Hst(9)","PAR_BF_diff_Hst(10)","PAR_BF_diff_Hst(11)","PAR_BF_diff_Hst(12)","PAR_BF_diff_Hst(13)","PAR_BF_diff_Hst(14)","PAR_BF_diff_Hst(15)","Solar_irrad_Hst(1)","Solar_irrad_Hst(2)","Solar_irrad_Hst(3)","Solar_irrad_Hst(4)","Solar_irrad_Hst(5)","Solar_irrad_Hst(6)","Solar_irrad_Hst(7)","Solar_irrad_Hst(8)","Solar_irrad_Hst(9)","Solar_irrad_Hst(10)","Solar_irrad_Hst(11)","Solar_irrad_Hst(12)","Solar_irrad_Hst(13)","Solar_irrad_Hst(14)","Solar_irrad_Hst(15)","Solar_irrad_Hst(16)","Solar_irrad_Hst(17)","Solar_irrad_Hst(18)","Solar_irrad_Hst(19)","Solar_irrad_Hst(20)","Solar_irrad_Hst(21)","Solar_irrad_Hst(22)","Solar_irrad_Hst(23)","Solar_irrad_Hst(24)","Solar_irrad_Hst(25)","PAR_DenLog_Hst(1)","PAR_DenLog_Hst(2)","PAR_DenLog_Hst(3)","PAR_DenLog_Hst(4)","PAR_DenLog_Hst(5)","PAR_DenLog_Hst(6)","PAR_DenLog_Hst(7)","PAR_DenLog_Hst(8)","PAR_DenLog_Hst(9)","PAR_DenLog_Hst(10)","PAR_DenLog_Hst(11)","PAR_DenLog_Hst(12)","PAR_BF_totLog_Hst(1)","PAR_BF_totLog_Hst(2)","PAR_BF_totLog_Hst(3)","PAR_BF_totLog_Hst(4)","PAR_BF_totLog_Hst(5)","PAR_BF_totLog_Hst(6)","PAR_BF_totLog_Hst(7)","PAR_BF_totLog_Hst(8)","PAR_BF_totLog_Hst(9)","PAR_BF_totLog_Hst(10)","PAR_BF_totLog_Hst(11)","PAR_BF_totLog_Hst(12)","PAR_BF_diffLog_Hst(1)","PAR_BF_diffLog_Hst(2)","PAR_BF_diffLog_Hst(3)","PAR_BF_diffLog_Hst(4)","PAR_BF_diffLog_Hst(5)","PAR_BF_diffLog_Hst(6)","PAR_BF_diffLog_Hst(7)","PAR_BF_diffLog_Hst(8)","PAR_BF_diffLog_Hst(9)","PAR_BF_diffLog_Hst(10)","PAR_BF_diffLog_Hst(11)","PAR_BF_diffLog_Hst(12)","Solar_irradLog_Hst(1)","Solar_irradLog_Hst(2)","Solar_irradLog_Hst(3)","Solar_irradLog_Hst(4)","Solar_irradLog_Hst(5)","Solar_irradLog_Hst(6)","Solar_irradLog_Hst(7)","Solar_irradLog_Hst(8)","Solar_irradLog_Hst(9)","Solar_irradLog_Hst(10)","PAR_Den_Avg","PAR_DenSqr_Avg","PAR_Den_Std","PAR_BF_tot_Avg","PAR_BF_totSqr_Avg","PAR_BF_tot_Std","PAR_BF_diff_Avg","PAR_BF_diffSqr_Avg","PAR_BF_diff_Std","Solar_irrad_Avg","Solar_irradSqr_Avg","Solar_irrad_Std","WindSpd_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","AirTemp_Avg","RelHumidity_Avg","AirDewPoint_Avg","AirPressure","Ramount_Tot","Hamount_Tot"
"TS","RN","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","W/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","log_µmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","_logµmol/s/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","log_W/m²","µmol/s/m²","sqr_µmol/s/m²","µmol/s/m²","µmol/s/m²","sqr_µmol/s/m²","µmol/s/m²","µmol/s/m²","sqr_µmol/s/m²","µmol/s/m²","W/m²","sqr_W/m²","W/m²","m/s","Deg","Deg","Celsius","%","","hPa","mm","hits/cm2"
"","","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,25,1.0000e+00,0.0000e+00,2.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,15,1.0000e+00,0.0000e+00,1.5000e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,25,1.0000e+00,0.0000e+00,1.2500e+03","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,12,1.0000e+00,1.0000e+00,3.4000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Hst,10,1.0000e+00,1.0000e+00,3.1000e+00","Avg","Avg","Std","Avg","Avg","Std","Avg","Avg","Std","Avg","Avg","Std","WVc","WVc","WVc","Avg","Avg","Avg","Smp","Tot","Tot"
"2016-07-26 21:00:00",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.389,0.611,0,0,0,0,115.593,13401.44,6.300892,488.0521,238242.2,6.876786,-184.8794,34232.07,7.189091,-201.5017,40602.95,0.07870528,1.287,184.5,21.82,20.7,77.08,16.56,1014.4,23.4,0
"2016-07-26 22:00:00",1,0.957,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338,0.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075,0.182,0.231,0.211,0.258,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199,0.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.083,0.194,0.257,0.21,0.256,0,0,0,0,0,47.51735,2993.146,27.11543,420.8332,177952.4,29.18671,-263.207,72147.97,53.57281,-201.7244,40692.76,0.15026,1.388,180.1,20.69,20.23,81.1,16.89,1014.4,187.2,0
"2016-07-26 23:00:00",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.989,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.267956,23.22597,3.542095,387.4167,150119.2,5.249717,-347.2172,120724.5,12.8319,-201.9671,40790.73,0.08593094,0.696,176.4,34.91,19.41,86,17.02,1014.4,187.2,0
"2016-07-27 00:00:00",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0.842,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.158,0,0,0,0,0,0,0,0,0.842,-0.02437428,0.001368181,0.02782222,384.0803,147549.9,5.681978,-370.9438,137643.6,6.65222,-202.0931,40841.63,0.09246442,0.61,196.4,56.29,18.89,87.6,16.8,1014.1,187.2,0
"2016-07-27 01:00:00",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.07096719,0.005537216,0.02238021,374.18,140089.9,8.898885,-387.6811,150670.5,19.33553,-202.264,40910.76,0.1893176,0.415,121.3,69.97,18.32,88.1,16.32,1014.1,187.2,0
"2016-07-27 02:00:00",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.06804626,0.00492803,0.01725501,362.1371,131150.2,2.621078,-426.6565,182163,11.27954,-202.661,41071.52,0.1359716,0.347,151.9,58.43,16.96,89.7,15.27,1014.2,187.2,0
"2016-07-27 03:00:00",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0.985,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.015,0,0,0,0,0,0,0,0,0.985,-0.04675864,0.002596032,0.02024011,360.1282,129700.7,2.893136,-443.6864,196928.7,8.432704,-202.847,41146.92,0.08406743,0.331,178.3,77.58,16.05,92.2,14.8,1014.2,187.2,0
"2016-07-27 04:00:00",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0,0,0,0,0,0,0,0,0,0,0.569,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.431,0,0,0,0,0,0,0,0,0.569,0.009453575,0.003502551,0.05842243,358.4745,128505.9,1.417487,-454.2765,206413.4,6.801584,-203.0008,41209.32,0.04939495,0.317,184.9,69.29,15.33,93.4,14.29,1014.5,187.2,0
