"TOA5","CR6Series","CR6","1449","CR6.Std.01","CPU:Tower2016.CR6","46551","TableDay"
"TIMESTAMP","RECORD","PAR_Den_Avg","PAR_BF_tot_Avg","PAR_BF_diff_Avg","PAR_Den_Min","PAR_Den_TMn","PAR_Den_Max","PAR_Den_TMx","PAR_BF_tot_Min","PAR_BF_tot_TMn","PAR_BF_tot_Max","PAR_BF_tot_TMx","PAR_BF_diff_Min","PAR_BF_diff_TMn","PAR_BF_diff_Max","PAR_BF_diff_TMx","AirTemp_Avg","AirDewPoint_Avg","AirPressure_Avg","AirTemp_Min","AirTemp_TMn","AirTemp_Max","AirTemp_TMx","AirDewPoint_Min","AirDewPoint_TMn","AirDewPoint_Max","AirDewPoint_TMx","AirPressure_Min","AirPressure_TMn","AirPressure_Max","AirPressure_TMx","BattV_Min"
"TS","RN","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","µmol/s/m²","Celsius","","hPa","Celsius","Celsius","Celsius","Celsius","","","","","hPa","hPa","hPa","hPa","Volts"
"","","Avg","Avg","Avg","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Avg","Avg","Avg","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min","TMn","Max","TMx","Min"
"2016-07-27 00:00:00",0,20.86722,401.0677,-321.433,-0.09913711,"2016-07-26 23:59:05",128.0503,"2016-07-26 20:52:35",370.5539,"2016-07-26 23:04:05",497.6497,"2016-07-26 20:55:00",-382.3298,"2016-07-26 23:32:50",-158.8396,"2016-07-26 20:52:35",19.55858,16.89023,1014.371,18.6,"2016-07-26 23:05:50",20.7,"2016-07-26 20:52:35",16.44357,"2016-07-26 21:03:00",17.35682,"2016-07-26 21:51:15",1014.1,"2016-07-26 23:53:05",1014.5,"2016-07-26 21:21:50",13.05
"2016-07-28 00:00:00",1,526.4831,591.7202,-187.6864,-0.1609433,"2016-07-27 23:32:10",1422.533,"2016-07-27 12:59:10",334.2595,"2016-07-27 22:49:05",1034.79,"2016-07-27 17:10:30",-476.4036,"2016-07-27 23:59:55",95.87836,"2016-07-27 17:10:50",20.61109,14.58337,1014.359,14.4,"2016-07-27 23:59:00",25.8,"2016-07-27 17:10:25",8.720243,"2016-07-27 20:49:10",18.98801,"2016-07-27 13:11:45",1013.4,"2016-07-27 19:34:25",1015.1,"2016-07-27 11:10:50",12.98
