Filename-->,F1_G2_201505290001.IRR
Mode/Unit-->,Irradiance[?Watt/cm?]
Int.time[ms]-->,100
NrOfAverages-->,100
Smoothing-->,0
Wavelength[nm],1412092U1- f1 g2 kesk 80 cm I
172.485,9.27919E-09
173.091,1.10348E-08
173.697,1.04457E-08
174.303,8.93041E-09
174.910,9.62797E-09
175.516,8.43509E-09
176.122,1.03695E-08
176.728,1.0179E-08
177.334,1.05776E-08
177.940,9.57228E-09
178.546,9.09454E-09
179.152,9.38763E-09
179.758,1.07798E-08
180.364,1.04574E-08
180.970,9.12092E-09
181.576,9.97381E-09
182.182,8.29148E-09
182.788,8.97145E-09
183.393,7.59979E-09
183.999,9.42573E-09
184.605,6.1871E-09
185.211,7.9046E-09
185.816,9.57814E-09
186.422,9.06524E-09
187.028,1.02288E-08
187.633,1.03284E-08
188.239,9.01248E-09
188.845,9.3466E-09
189.450,8.41751E-09
190.056,7.89288E-09
190.661,8.12442E-09
191.267,7.00775E-09
191.872,8.13321E-09
192.477,7.58807E-09
193.083,7.38877E-09
193.688,9.0623E-09
194.294,7.73754E-09
194.899,8.45854E-09
195.504,6.69415E-09
196.110,7.61445E-09
196.715,7.31256E-09
197.320,8.51716E-09
197.925,6.55053E-09
198.530,6.5095E-09
199.135,7.24809E-09
199.741,9.41694E-09
200.346,4.870565531
200.951,5.441413716
201.556,5.109984324
202.161,4.461058543
202.766,3.638263154
203.371,4.130086672
203.976,2.925303537
204.581,3.528448904
205.185,2.944653929
205.790,2.174079749
206.395,3.135079709
207.000,2.626376554
207.605,1.565022058
208.210,2.108709133
208.814,1.731776952
209.419,1.277410784
210.024,1.502548133
210.628,1.487942814
211.233,1.509815055
211.837,1.192184564
212.442,1.492747919
213.047,1.453377937
213.651,1.258204498
214.256,1.168901472
214.860,0.621022081
215.464,1.23840813
216.069,0.879069685
216.673,1.007006561
217.278,1.084277564
217.882,0.781660452
218.486,0.784048005
219.091,0.751366873
219.695,0.673818722
220.299,0.706767142
220.903,0.628350596
221.507,0.567131186
222.112,0.486727168
222.716,0.320175457
223.320,0.531424834
223.924,0.601236429
224.528,0.474739087
225.132,0.49253124
225.736,0.356510678
226.340,0.207570074
226.944,0.355605221
227.548,0.21465472
228.151,0.305745165
228.755,0.186922901
229.359,0.407370856
229.963,0.363790268
230.567,0.174763749
231.170,0.219832341
231.774,0.339882626
232.378,0.079813707
232.982,0.191255048
233.585,0.237221757
234.189,0.25005471
234.792,0.270714068
235.396,0.200750986
235.999,0.242836643
236.603,0.162662066
237.206,0.156984634
237.810,0.172289898
238.413,0.198836191
239.017,0.132887028
239.620,0.190645389
240.223,0.109909099
240.827,0.201376532
241.430,0.055587645
242.033,0.116657297
242.636,0.130758177
243.240,0.167757886
243.843,0.114289454
244.446,0.081329529
245.049,0.085100021
245.652,0.128600539
246.255,0.063760251
246.858,0.043820771
247.461,0.102257775
248.064,0.134041659
248.667,0.146748449
249.270,0.066665875
249.873,0.10545381
250.476,0.117207378
251.079,0.129367706
251.682,0.1460825
252.284,0.095877907
252.887,0.095727361
253.490,0.094989859
254.093,0.130346551
254.695,0.027536489
255.298,0.02584222
255.900,0.057368663
256.503,0.075095158
257.106,0.068485253
257.708,0.086125748
258.311,0.113145149
258.913,0.054614357
259.516,0.071795565
260.118,0.118397519
260.720,0.075617799
261.323,0.10262168
261.925,0.093595909
262.527,0.059493409
263.130,0.035031575
263.732,0.063073523
264.334,0.09558629
264.936,0.060166578
265.539,0.061076028
266.141,0.086920161
266.743,0.074491656
267.345,0.019937071
267.947,0.047305642
268.549,0.06759141
269.151,0.035399231
269.753,0.064057899
270.355,0.067891726
270.957,0.092677717
271.559,0.094074896
272.161,0.068999812
272.763,0.054138234
273.364,0.082400691
273.966,0.040713838
274.568,0.05781105
275.170,0.091832162
275.771,0.072020827
276.373,0.062618903
276.975,0.072994134
277.576,0.049848286
278.178,0.069573303
278.780,0.064377704
279.381,0.043603
279.983,0.082340842
280.584,0.05182345
281.185,0.046280147
281.787,0.073510893
282.388,0.038797556
282.990,0.050217918
283.591,0.02817171
284.192,0.058912162
284.794,0.056818107
285.395,0.084248582
285.996,0.023583756
286.597,0.050603958
287.198,0.054222102
287.800,0.062883583
288.401,0.083030104
289.002,0.068667253
289.603,0.065723653
290.204,0.051832879
290.805,0.043719247
291.406,0.061506082
292.007,0.053842495
292.608,0.06124925
293.208,0.047615753
293.809,0.070359087
294.410,0.030537701
295.011,0.044964942
295.612,0.038367558
296.212,0.051840691
296.813,0.044610114
297.414,0.072572877
298.014,0.065972729
298.615,0.038096125
299.216,0.04145683
299.816,0.059741854
300.417,0.038488538
301.017,0.053599658
301.618,0.0511636
302.218,0.077736006
302.819,0.041250565
303.419,0.053966714
304.019,0.060702689
304.620,0.045863941
305.220,0.06248735
305.820,0.043540094
306.421,0.041272369
307.021,0.030876024
307.621,0.036843017
308.221,0.067917825
308.821,0.06594739
309.421,0.041177223
310.021,0.033158778
310.621,0.06121396
311.221,0.067749912
311.821,0.063797276
312.421,0.026463641
313.021,0.04953975
313.621,0.035790656
314.221,0.023307269
314.821,0.045884061
315.421,0.037252345
316.020,0.054450011
316.620,0.046588726
317.220,0.034950391
317.820,0.030716846
318.419,0.028420219
319.019,0.051052782
319.619,0.048214021
320.218,0.075207005
320.818,0.048023083
321.417,0.036241264
322.017,0.042744329
322.616,0.050000385
323.216,0.049400022
323.815,0.047382286
324.414,0.029502833
325.014,0.056353923
325.613,0.04142365
326.212,0.049675755
326.811,0.041851773
